ResNet       line 1 cols 1-6 is T_Identifier 
)            line 35 cols 65-65 is ')' 
,            line 35 cols 66-66 is ',' 
padding      line 35 cols 68-74 is T_padding 
=            line 35 cols 75-75 is '=' 
(            line 35 cols 76-76 is '(' 
1            line 35 cols 77-77 is T_IntConstant (value = 1)
,            line 35 cols 78-78 is ',' 
1            line 35 cols 80-80 is T_IntConstant (value = 1)
)            line 35 cols 81-81 is ')' 
,            line 35 cols 82-82 is ',' 
bias         line 35 cols 84-87 is T_bias 
=            line 35 cols 88-88 is '=' 
False        line 35 cols 89-93 is T_BoolConstant (value = false)
)            line 35 cols 94-94 is ')' 
(            line 36 cols 7-7 is '(' 
bn1          line 36 cols 8-10 is T_Identifier 
)            line 36 cols 11-11 is ')' 
:            line 36 cols 12-12 is ':' 
BatchNorm2d  line 36 cols 14-24 is T_BatchNorm2d 
(            line 36 cols 25-25 is '(' 
128          line 36 cols 26-28 is T_IntConstant (value = 128)
,            line 36 cols 29-29 is ',' 
eps          line 36 cols 31-33 is T_eps 
=            line 36 cols 34-34 is '=' 
1e-05        line 36 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 36 cols 40-40 is ',' 
momentum     line 36 cols 42-49 is T_momentum 
=            line 36 cols 50-50 is '=' 
0.1          line 36 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 36 cols 54-54 is ',' 
affine       line 36 cols 56-61 is T_Identifier 
=            line 36 cols 62-62 is '=' 
True         line 36 cols 63-66 is T_BoolConstant (value = true)
,            line 36 cols 67-67 is ',' 
track_running_stats line 36 cols 69-87 is T_track_running_stats 
=            line 36 cols 88-88 is '=' 
True         line 36 cols 89-92 is T_BoolConstant (value = true)
)            line 36 cols 93-93 is ')' 
(            line 37 cols 7-7 is '(' 
relu         line 37 cols 8-11 is T_Identifier 
)            line 37 cols 12-12 is ')' 
:            line 37 cols 13-13 is ':' 
ReLU         line 37 cols 15-18 is T_ReLU 
(            line 37 cols 19-19 is '(' 
inplace      line 37 cols 20-26 is T_inplace 
=            line 37 cols 27-27 is '=' 
True         line 37 cols 28-31 is T_BoolConstant (value = true)
)            line 37 cols 32-32 is ')' 
(            line 38 cols 7-7 is '(' 
conv2        line 38 cols 8-12 is T_Identifier 
)            line 38 cols 13-13 is ')' 
:            line 38 cols 14-14 is ':' 
Conv2d       line 38 cols 16-21 is T_Conv2d 
(            line 38 cols 22-22 is '(' 
128          line 38 cols 23-25 is T_IntConstant (value = 128)
,            line 38 cols 26-26 is ',' 
128          line 38 cols 28-30 is T_IntConstant (value = 128)
,            line 38 cols 31-31 is ',' 
kernel_size  line 38 cols 33-43 is T_kernel_size 
=            line 38 cols 44-44 is '=' 
(            line 38 cols 45-45 is '(' 
3            line 38 cols 46-46 is T_IntConstant (value = 3)
,            line 38 cols 47-47 is ',' 
3            line 38 cols 49-49 is T_IntConstant (value = 3)
)            line 38 cols 50-50 is ')' 
,            line 38 cols 51-51 is ',' 
stride       line 38 cols 53-58 is T_stride 
=            line 38 cols 59-59 is '=' 
(            line 38 cols 60-60 is '(' 
1            line 38 cols 61-61 is T_IntConstant (value = 1)
,            line 38 cols 62-62 is ',' 
1            line 38 cols 64-64 is T_IntConstant (value = 1)
)            line 38 cols 65-65 is ')' 
,            line 38 cols 66-66 is ',' 
padding      line 38 cols 68-74 is T_padding 
=            line 38 cols 75-75 is '=' 
(            line 38 cols 76-76 is '(' 
1            line 38 cols 77-77 is T_IntConstant (value = 1)
,            line 38 cols 78-78 is ',' 
1            line 38 cols 80-80 is T_IntConstant (value = 1)
)            line 38 cols 81-81 is ')' 
,            line 38 cols 82-82 is ',' 
bias         line 38 cols 84-87 is T_bias 
=            line 38 cols 88-88 is '=' 
False        line 38 cols 89-93 is T_BoolConstant (value = false)
)            line 38 cols 94-94 is ')' 
(            line 39 cols 7-7 is '(' 
bn2          line 39 cols 8-10 is T_Identifier 
)            line 39 cols 11-11 is ')' 
:            line 39 cols 12-12 is ':' 
BatchNorm2d  line 39 cols 14-24 is T_BatchNorm2d 
(            line 39 cols 25-25 is '(' 
128          line 39 cols 26-28 is T_IntConstant (value = 128)
,            line 39 cols 29-29 is ',' 
eps          line 39 cols 31-33 is T_eps 
=            line 39 cols 34-34 is '=' 
1e-05        line 39 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 39 cols 40-40 is ',' 
momentum     line 39 cols 42-49 is T_momentum 
=            line 39 cols 50-50 is '=' 
0.1          line 39 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 39 cols 54-54 is ',' 
affine       line 39 cols 56-61 is T_Identifier 
=            line 39 cols 62-62 is '=' 
True         line 39 cols 63-66 is T_BoolConstant (value = true)
,            line 39 cols 67-67 is ',' 
track_running_stats line 39 cols 69-87 is T_track_running_stats 
=            line 39 cols 88-88 is '=' 
True         line 39 cols 89-92 is T_BoolConstant (value = true)
)            line 39 cols 93-93 is ')' 
)            line 40 cols 5-5 is ')' 
)            line 41 cols 3-3 is ')' 
(            line 42 cols 3-3 is '(' 
layer3       line 42 cols 4-9 is T_Identifier 
)            line 42 cols 10-10 is ')' 
:            line 42 cols 11-11 is ':' 
Sequential   line 42 cols 13-22 is T_Sequential 
(            line 42 cols 23-23 is '(' 
(            line 43 cols 5-5 is '(' 
0            line 43 cols 6-6 is T_IntConstant (value = 0)
)            line 43 cols 7-7 is ')' 
:            line 43 cols 8-8 is ':' 
BasicBlock   line 43 cols 10-19 is T_Identifier 
(            line 43 cols 20-20 is '(' 
(            line 44 cols 7-7 is '(' 
conv1        line 44 cols 8-12 is T_Identifier 
)            line 44 cols 13-13 is ')' 
:            line 44 cols 14-14 is ':' 
Conv2d       line 44 cols 16-21 is T_Conv2d 
(            line 44 cols 22-22 is '(' 
128          line 44 cols 23-25 is T_IntConstant (value = 128)
,            line 44 cols 26-26 is ',' 
256          line 44 cols 28-30 is T_IntConstant (value = 256)
,            line 44 cols 31-31 is ',' 
kernel_size  line 44 cols 33-43 is T_kernel_size 
=            line 44 cols 44-44 is '=' 
(            line 44 cols 45-45 is '(' 
3            line 44 cols 46-46 is T_IntConstant (value = 3)
,            line 44 cols 47-47 is ',' 
3            line 44 cols 49-49 is T_IntConstant (value = 3)
)            line 44 cols 50-50 is ')' 
,            line 44 cols 51-51 is ',' 
stride       line 44 cols 53-58 is T_stride 
=            line 44 cols 59-59 is '=' 
(            line 44 cols 60-60 is '(' 
2            line 44 cols 61-61 is T_IntConstant (value = 2)
,            line 44 cols 62-62 is ',' 
2            line 44 cols 64-64 is T_IntConstant (value = 2)
)            line 44 cols 65-65 is ')' 
,            line 44 cols 66-66 is ',' 
padding      line 44 cols 68-74 is T_padding 
=            line 44 cols 75-75 is '=' 
(            line 44 cols 76-76 is '(' 
1            line 44 cols 77-77 is T_IntConstant (value = 1)
,            line 44 cols 78-78 is ',' 
1            line 44 cols 80-80 is T_IntConstant (value = 1)
)            line 44 cols 81-81 is ')' 
,            line 44 cols 82-82 is ',' 
bias         line 44 cols 84-87 is T_bias 
=            line 44 cols 88-88 is '=' 
False        line 44 cols 89-93 is T_BoolConstant (value = false)
)            line 44 cols 94-94 is ')' 
(            line 45 cols 7-7 is '(' 
bn1          line 45 cols 8-10 is T_Identifier 
)            line 45 cols 11-11 is ')' 
:            line 45 cols 12-12 is ':' 
BatchNorm2d  line 45 cols 14-24 is T_BatchNorm2d 
(            line 45 cols 25-25 is '(' 
256          line 45 cols 26-28 is T_IntConstant (value = 256)
,            line 45 cols 29-29 is ',' 
eps          line 45 cols 31-33 is T_eps 
=            line 45 cols 34-34 is '=' 
1e-05        line 45 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 45 cols 40-40 is ',' 
momentum     line 45 cols 42-49 is T_momentum 
=            line 45 cols 50-50 is '=' 
0.1          line 45 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 45 cols 54-54 is ',' 
affine       line 45 cols 56-61 is T_Identifier 
=            line 45 cols 62-62 is '=' 
True         line 45 cols 63-66 is T_BoolConstant (value = true)
,            line 45 cols 67-67 is ',' 
track_running_stats line 45 cols 69-87 is T_track_running_stats 
=            line 45 cols 88-88 is '=' 
True         line 45 cols 89-92 is T_BoolConstant (value = true)
)            line 45 cols 93-93 is ')' 
(            line 46 cols 7-7 is '(' 
relu         line 46 cols 8-11 is T_Identifier 
)            line 46 cols 12-12 is ')' 
:            line 46 cols 13-13 is ':' 
ReLU         line 46 cols 15-18 is T_ReLU 
(            line 46 cols 19-19 is '(' 
inplace      line 46 cols 20-26 is T_inplace 
=            line 46 cols 27-27 is '=' 
True         line 46 cols 28-31 is T_BoolConstant (value = true)
)            line 46 cols 32-32 is ')' 
(            line 47 cols 7-7 is '(' 
conv2        line 47 cols 8-12 is T_Identifier 
)            line 47 cols 13-13 is ')' 
:            line 47 cols 14-14 is ':' 
Conv2d       line 47 cols 16-21 is T_Conv2d 
(            line 47 cols 22-22 is '(' 
256          line 47 cols 23-25 is T_IntConstant (value = 256)
,            line 47 cols 26-26 is ',' 
256          line 47 cols 28-30 is T_IntConstant (value = 256)
,            line 47 cols 31-31 is ',' 
kernel_size  line 47 cols 33-43 is T_kernel_size 
=            line 47 cols 44-44 is '=' 
(            line 47 cols 45-45 is '(' 
3            line 47 cols 46-46 is T_IntConstant (value = 3)
,            line 47 cols 47-47 is ',' 
3            line 47 cols 49-49 is T_IntConstant (value = 3)
)            line 47 cols 50-50 is ')' 
,            line 47 cols 51-51 is ',' 
stride       line 47 cols 53-58 is T_stride 
=            line 47 cols 59-59 is '=' 
(            line 47 cols 60-60 is '(' 
1            line 47 cols 61-61 is T_IntConstant (value = 1)
,            line 47 cols 62-62 is ',' 
1            line 47 cols 64-64 is T_IntConstant (value = 1)
)            line 47 cols 65-65 is ')' 
,            line 47 cols 66-66 is ',' 
padding      line 47 cols 68-74 is T_padding 
=            line 47 cols 75-75 is '=' 
(            line 47 cols 76-76 is '(' 
1            line 47 cols 77-77 is T_IntConstant (value = 1)
,            line 47 cols 78-78 is ',' 
1            line 47 cols 80-80 is T_IntConstant (value = 1)
)            line 47 cols 81-81 is ')' 
,            line 47 cols 82-82 is ',' 
bias         line 47 cols 84-87 is T_bias 
=            line 47 cols 88-88 is '=' 
False        line 47 cols 89-93 is T_BoolConstant (value = false)
)            line 47 cols 94-94 is ')' 
(            line 48 cols 7-7 is '(' 
bn2          line 48 cols 8-10 is T_Identifier 
)            line 48 cols 11-11 is ')' 
:            line 48 cols 12-12 is ':' 
BatchNorm2d  line 48 cols 14-24 is T_BatchNorm2d 
(            line 48 cols 25-25 is '(' 
256          line 48 cols 26-28 is T_IntConstant (value = 256)
,            line 48 cols 29-29 is ',' 
eps          line 48 cols 31-33 is T_eps 
=            line 48 cols 34-34 is '=' 
1e-05        line 48 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 48 cols 40-40 is ',' 
momentum     line 48 cols 42-49 is T_momentum 
=            line 48 cols 50-50 is '=' 
0.1          line 48 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 48 cols 54-54 is ',' 
affine       line 48 cols 56-61 is T_Identifier 
=            line 48 cols 62-62 is '=' 
True         line 48 cols 63-66 is T_BoolConstant (value = true)
,            line 48 cols 67-67 is ',' 
track_running_stats line 48 cols 69-87 is T_track_running_stats 
=            line 48 cols 88-88 is '=' 
True         line 48 cols 89-92 is T_BoolConstant (value = true)
)            line 48 cols 93-93 is ')' 
(            line 49 cols 7-7 is '(' 
downsample   line 49 cols 8-17 is T_Identifier 
)            line 49 cols 18-18 is ')' 
:            line 49 cols 19-19 is ':' 
Sequential   line 49 cols 21-30 is T_Sequential 
(            line 49 cols 31-31 is '(' 
(            line 50 cols 9-9 is '(' 
0            line 50 cols 10-10 is T_IntConstant (value = 0)
)            line 50 cols 11-11 is ')' 
:            line 50 cols 12-12 is ':' 
Conv2d       line 50 cols 14-19 is T_Conv2d 
(            line 50 cols 20-20 is '(' 
128          line 50 cols 21-23 is T_IntConstant (value = 128)
,            line 50 cols 24-24 is ',' 
256          line 50 cols 26-28 is T_IntConstant (value = 256)
,            line 50 cols 29-29 is ',' 
kernel_size  line 50 cols 31-41 is T_kernel_size 
=            line 50 cols 42-42 is '=' 
(            line 50 cols 43-43 is '(' 
1            line 50 cols 44-44 is T_IntConstant (value = 1)
,            line 50 cols 45-45 is ',' 
1            line 50 cols 47-47 is T_IntConstant (value = 1)
)            line 50 cols 48-48 is ')' 
,            line 50 cols 49-49 is ',' 
stride       line 50 cols 51-56 is T_stride 
=            line 50 cols 57-57 is '=' 
(            line 50 cols 58-58 is '(' 
2            line 50 cols 59-59 is T_IntConstant (value = 2)
,            line 50 cols 60-60 is ',' 
2            line 50 cols 62-62 is T_IntConstant (value = 2)
)            line 50 cols 63-63 is ')' 
,            line 50 cols 64-64 is ',' 
bias         line 50 cols 66-69 is T_bias 
=            line 50 cols 70-70 is '=' 
False        line 50 cols 71-75 is T_BoolConstant (value = false)
)            line 50 cols 76-76 is ')' 
(            line 51 cols 9-9 is '(' 
1            line 51 cols 10-10 is T_IntConstant (value = 1)
)            line 51 cols 11-11 is ')' 
:            line 51 cols 12-12 is ':' 
BatchNorm2d  line 51 cols 14-24 is T_BatchNorm2d 
(            line 51 cols 25-25 is '(' 
256          line 51 cols 26-28 is T_IntConstant (value = 256)
,            line 51 cols 29-29 is ',' 
eps          line 51 cols 31-33 is T_eps 
=            line 51 cols 34-34 is '=' 
1e-05        line 51 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 51 cols 40-40 is ',' 
momentum     line 51 cols 42-49 is T_momentum 
=            line 51 cols 50-50 is '=' 
0.1          line 51 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 51 cols 54-54 is ',' 
affine       line 51 cols 56-61 is T_Identifier 
=            line 51 cols 62-62 is '=' 
True         line 51 cols 63-66 is T_BoolConstant (value = true)
,            line 51 cols 67-67 is ',' 
track_running_stats line 51 cols 69-87 is T_track_running_stats 
=            line 51 cols 88-88 is '=' 
True         line 51 cols 89-92 is T_BoolConstant (value = true)
)            line 51 cols 93-93 is ')' 
)            line 52 cols 7-7 is ')' 
)            line 53 cols 5-5 is ')' 
(            line 54 cols 5-5 is '(' 
1            line 54 cols 6-6 is T_IntConstant (value = 1)
)            line 54 cols 7-7 is ')' 
:            line 54 cols 8-8 is ':' 
BasicBlock   line 54 cols 10-19 is T_Identifier 
(            line 54 cols 20-20 is '(' 
(            line 55 cols 7-7 is '(' 
conv1        line 55 cols 8-12 is T_Identifier 
)            line 55 cols 13-13 is ')' 
:            line 55 cols 14-14 is ':' 
Conv2d       line 55 cols 16-21 is T_Conv2d 
(            line 55 cols 22-22 is '(' 
256          line 55 cols 23-25 is T_IntConstant (value = 256)
,            line 55 cols 26-26 is ',' 
256          line 55 cols 28-30 is T_IntConstant (value = 256)
,            line 55 cols 31-31 is ',' 
kernel_size  line 55 cols 33-43 is T_kernel_size 
=            line 55 cols 44-44 is '=' 
(            line 55 cols 45-45 is '(' 
3            line 55 cols 46-46 is T_IntConstant (value = 3)
,            line 55 cols 47-47 is ',' 
3            line 55 cols 49-49 is T_IntConstant (value = 3)
)            line 55 cols 50-50 is ')' 
,            line 55 cols 51-51 is ',' 
stride       line 55 cols 53-58 is T_stride 
=            line 55 cols 59-59 is '=' 
(            line 55 cols 60-60 is '(' 
1            line 55 cols 61-61 is T_IntConstant (value = 1)
,            line 55 cols 62-62 is ',' 
1            line 55 cols 64-64 is T_IntConstant (value = 1)
)            line 55 cols 65-65 is ')' 
,            line 55 cols 66-66 is ',' 
padding      line 55 cols 68-74 is T_padding 
=            line 55 cols 75-75 is '=' 
(            line 55 cols 76-76 is '(' 
1            line 55 cols 77-77 is T_IntConstant (value = 1)
,            line 55 cols 78-78 is ',' 
1            line 55 cols 80-80 is T_IntConstant (value = 1)
)            line 55 cols 81-81 is ')' 
,            line 55 cols 82-82 is ',' 
bias         line 55 cols 84-87 is T_bias 
=            line 55 cols 88-88 is '=' 
False        line 55 cols 89-93 is T_BoolConstant (value = false)
)            line 55 cols 94-94 is ')' 
(            line 56 cols 7-7 is '(' 
bn1          line 56 cols 8-10 is T_Identifier 
)            line 56 cols 11-11 is ')' 
:            line 56 cols 12-12 is ':' 
BatchNorm2d  line 56 cols 14-24 is T_BatchNorm2d 
(            line 56 cols 25-25 is '(' 
256          line 56 cols 26-28 is T_IntConstant (value = 256)
,            line 56 cols 29-29 is ',' 
eps          line 56 cols 31-33 is T_eps 
=            line 56 cols 34-34 is '=' 
1e-05        line 56 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 56 cols 40-40 is ',' 
momentum     line 56 cols 42-49 is T_momentum 
=            line 56 cols 50-50 is '=' 
0.1          line 56 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 56 cols 54-54 is ',' 
affine       line 56 cols 56-61 is T_Identifier 
=            line 56 cols 62-62 is '=' 
True         line 56 cols 63-66 is T_BoolConstant (value = true)
,            line 56 cols 67-67 is ',' 
track_running_stats line 56 cols 69-87 is T_track_running_stats 
=            line 56 cols 88-88 is '=' 
True         line 56 cols 89-92 is T_BoolConstant (value = true)
)            line 56 cols 93-93 is ')' 
(            line 57 cols 7-7 is '(' 
relu         line 57 cols 8-11 is T_Identifier 
)            line 57 cols 12-12 is ')' 
:            line 57 cols 13-13 is ':' 
ReLU         line 57 cols 15-18 is T_ReLU 
(            line 57 cols 19-19 is '(' 
inplace      line 57 cols 20-26 is T_inplace 
=            line 57 cols 27-27 is '=' 
True         line 57 cols 28-31 is T_BoolConstant (value = true)
)            line 57 cols 32-32 is ')' 
(            line 58 cols 7-7 is '(' 
conv2        line 58 cols 8-12 is T_Identifier 
)            line 58 cols 13-13 is ')' 
:            line 58 cols 14-14 is ':' 
Conv2d       line 58 cols 16-21 is T_Conv2d 
(            line 58 cols 22-22 is '(' 
256          line 58 cols 23-25 is T_IntConstant (value = 256)
,            line 58 cols 26-26 is ',' 
256          line 58 cols 28-30 is T_IntConstant (value = 256)
,            line 58 cols 31-31 is ',' 
kernel_size  line 58 cols 33-43 is T_kernel_size 
=            line 58 cols 44-44 is '=' 
(            line 58 cols 45-45 is '(' 
3            line 58 cols 46-46 is T_IntConstant (value = 3)
,            line 58 cols 47-47 is ',' 
3            line 58 cols 49-49 is T_IntConstant (value = 3)
)            line 58 cols 50-50 is ')' 
,            line 58 cols 51-51 is ',' 
stride       line 58 cols 53-58 is T_stride 
=            line 58 cols 59-59 is '=' 
(            line 58 cols 60-60 is '(' 
1            line 58 cols 61-61 is T_IntConstant (value = 1)
,            line 58 cols 62-62 is ',' 
1            line 58 cols 64-64 is T_IntConstant (value = 1)
)            line 58 cols 65-65 is ')' 
,            line 58 cols 66-66 is ',' 
padding      line 58 cols 68-74 is T_padding 
=            line 58 cols 75-75 is '=' 
(            line 58 cols 76-76 is '(' 
1            line 58 cols 77-77 is T_IntConstant (value = 1)
,            line 58 cols 78-78 is ',' 
1            line 58 cols 80-80 is T_IntConstant (value = 1)
)            line 58 cols 81-81 is ')' 
,            line 58 cols 82-82 is ',' 
bias         line 58 cols 84-87 is T_bias 
=            line 58 cols 88-88 is '=' 
False        line 58 cols 89-93 is T_BoolConstant (value = false)
)            line 58 cols 94-94 is ')' 
(            line 59 cols 7-7 is '(' 
bn2          line 59 cols 8-10 is T_Identifier 
)            line 59 cols 11-11 is ')' 
:            line 59 cols 12-12 is ':' 
BatchNorm2d  line 59 cols 14-24 is T_BatchNorm2d 
(            line 59 cols 25-25 is '(' 
256          line 59 cols 26-28 is T_IntConstant (value = 256)
,            line 59 cols 29-29 is ',' 
eps          line 59 cols 31-33 is T_eps 
=            line 59 cols 34-34 is '=' 
1e-05        line 59 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 59 cols 40-40 is ',' 
momentum     line 59 cols 42-49 is T_momentum 
=            line 59 cols 50-50 is '=' 
0.1          line 59 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 59 cols 54-54 is ',' 
affine       line 59 cols 56-61 is T_Identifier 
=            line 59 cols 62-62 is '=' 
True         line 59 cols 63-66 is T_BoolConstant (value = true)
,            line 59 cols 67-67 is ',' 
track_running_stats line 59 cols 69-87 is T_track_running_stats 
=            line 59 cols 88-88 is '=' 
True         line 59 cols 89-92 is T_BoolConstant (value = true)
)            line 59 cols 93-93 is ')' 
)            line 60 cols 5-5 is ')' 
)            line 61 cols 3-3 is ')' 
(            line 62 cols 3-3 is '(' 
layer4       line 62 cols 4-9 is T_Identifier 
)            line 62 cols 10-10 is ')' 
:            line 62 cols 11-11 is ':' 
Sequential   line 62 cols 13-22 is T_Sequential 
(            line 62 cols 23-23 is '(' 
(            line 63 cols 5-5 is '(' 
0            line 63 cols 6-6 is T_IntConstant (value = 0)
)            line 63 cols 7-7 is ')' 
:            line 63 cols 8-8 is ':' 
BasicBlock   line 63 cols 10-19 is T_Identifier 
(            line 63 cols 20-20 is '(' 
(            line 64 cols 7-7 is '(' 
conv1        line 64 cols 8-12 is T_Identifier 
)            line 64 cols 13-13 is ')' 
:            line 64 cols 14-14 is ':' 
Conv2d       line 64 cols 16-21 is T_Conv2d 
(            line 64 cols 22-22 is '(' 
256          line 64 cols 23-25 is T_IntConstant (value = 256)
,            line 64 cols 26-26 is ',' 
512          line 64 cols 28-30 is T_IntConstant (value = 512)
,            line 64 cols 31-31 is ',' 
kernel_size  line 64 cols 33-43 is T_kernel_size 
=            line 64 cols 44-44 is '=' 
(            line 64 cols 45-45 is '(' 
3            line 64 cols 46-46 is T_IntConstant (value = 3)
,            line 64 cols 47-47 is ',' 
3            line 64 cols 49-49 is T_IntConstant (value = 3)
)            line 64 cols 50-50 is ')' 
,            line 64 cols 51-51 is ',' 
stride       line 64 cols 53-58 is T_stride 
=            line 64 cols 59-59 is '=' 
(            line 64 cols 60-60 is '(' 
2            line 64 cols 61-61 is T_IntConstant (value = 2)
,            line 64 cols 62-62 is ',' 
2            line 64 cols 64-64 is T_IntConstant (value = 2)
)            line 64 cols 65-65 is ')' 
,            line 64 cols 66-66 is ',' 
padding      line 64 cols 68-74 is T_padding 
=            line 64 cols 75-75 is '=' 
(            line 64 cols 76-76 is '(' 
1            line 64 cols 77-77 is T_IntConstant (value = 1)
,            line 64 cols 78-78 is ',' 
1            line 64 cols 80-80 is T_IntConstant (value = 1)
)            line 64 cols 81-81 is ')' 
,            line 64 cols 82-82 is ',' 
bias         line 64 cols 84-87 is T_bias 
=            line 64 cols 88-88 is '=' 
False        line 64 cols 89-93 is T_BoolConstant (value = false)
)            line 64 cols 94-94 is ')' 
(            line 65 cols 7-7 is '(' 
bn1          line 65 cols 8-10 is T_Identifier 
)            line 65 cols 11-11 is ')' 
:            line 65 cols 12-12 is ':' 
BatchNorm2d  line 65 cols 14-24 is T_BatchNorm2d 
(            line 65 cols 25-25 is '(' 
512          line 65 cols 26-28 is T_IntConstant (value = 512)
,            line 65 cols 29-29 is ',' 
eps          line 65 cols 31-33 is T_eps 
=            line 65 cols 34-34 is '=' 
1e-05        line 65 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 65 cols 40-40 is ',' 
momentum     line 65 cols 42-49 is T_momentum 
=            line 65 cols 50-50 is '=' 
0.1          line 65 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 65 cols 54-54 is ',' 
affine       line 65 cols 56-61 is T_Identifier 
=            line 65 cols 62-62 is '=' 
True         line 65 cols 63-66 is T_BoolConstant (value = true)
,            line 65 cols 67-67 is ',' 
track_running_stats line 65 cols 69-87 is T_track_running_stats 
=            line 65 cols 88-88 is '=' 
True         line 65 cols 89-92 is T_BoolConstant (value = true)
)            line 65 cols 93-93 is ')' 
(            line 66 cols 7-7 is '(' 
relu         line 66 cols 8-11 is T_Identifier 
)            line 66 cols 12-12 is ')' 
:            line 66 cols 13-13 is ':' 
ReLU         line 66 cols 15-18 is T_ReLU 
(            line 66 cols 19-19 is '(' 
inplace      line 66 cols 20-26 is T_inplace 
=            line 66 cols 27-27 is '=' 
True         line 66 cols 28-31 is T_BoolConstant (value = true)
)            line 66 cols 32-32 is ')' 
(            line 67 cols 7-7 is '(' 
conv2        line 67 cols 8-12 is T_Identifier 
)            line 67 cols 13-13 is ')' 
:            line 67 cols 14-14 is ':' 
Conv2d       line 67 cols 16-21 is T_Conv2d 
(            line 67 cols 22-22 is '(' 
512          line 67 cols 23-25 is T_IntConstant (value = 512)
,            line 67 cols 26-26 is ',' 
512          line 67 cols 28-30 is T_IntConstant (value = 512)
,            line 67 cols 31-31 is ',' 
kernel_size  line 67 cols 33-43 is T_kernel_size 
=            line 67 cols 44-44 is '=' 
(            line 67 cols 45-45 is '(' 
3            line 67 cols 46-46 is T_IntConstant (value = 3)
,            line 67 cols 47-47 is ',' 
3            line 67 cols 49-49 is T_IntConstant (value = 3)
)            line 67 cols 50-50 is ')' 
,            line 67 cols 51-51 is ',' 
stride       line 67 cols 53-58 is T_stride 
=            line 67 cols 59-59 is '=' 
(            line 67 cols 60-60 is '(' 
1            line 67 cols 61-61 is T_IntConstant (value = 1)
,            line 67 cols 62-62 is ',' 
1            line 67 cols 64-64 is T_IntConstant (value = 1)
)            line 67 cols 65-65 is ')' 
,            line 67 cols 66-66 is ',' 
padding      line 67 cols 68-74 is T_padding 
=            line 67 cols 75-75 is '=' 
(            line 67 cols 76-76 is '(' 
1            line 67 cols 77-77 is T_IntConstant (value = 1)
,            line 67 cols 78-78 is ',' 
1            line 67 cols 80-80 is T_IntConstant (value = 1)
)            line 67 cols 81-81 is ')' 
,            line 67 cols 82-82 is ',' 
bias         line 67 cols 84-87 is T_bias 
=            line 67 cols 88-88 is '=' 
False        line 67 cols 89-93 is T_BoolConstant (value = false)
)            line 67 cols 94-94 is ')' 
(            line 68 cols 7-7 is '(' 
bn2          line 68 cols 8-10 is T_Identifier 
)            line 68 cols 11-11 is ')' 
:            line 68 cols 12-12 is ':' 
BatchNorm2d  line 68 cols 14-24 is T_BatchNorm2d 
(            line 68 cols 25-25 is '(' 
512          line 68 cols 26-28 is T_IntConstant (value = 512)
,            line 68 cols 29-29 is ',' 
eps          line 68 cols 31-33 is T_eps 
=            line 68 cols 34-34 is '=' 
1e-05        line 68 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 68 cols 40-40 is ',' 
momentum     line 68 cols 42-49 is T_momentum 
=            line 68 cols 50-50 is '=' 
0.1          line 68 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 68 cols 54-54 is ',' 
affine       line 68 cols 56-61 is T_Identifier 
=            line 68 cols 62-62 is '=' 
True         line 68 cols 63-66 is T_BoolConstant (value = true)
,            line 68 cols 67-67 is ',' 
track_running_stats line 68 cols 69-87 is T_track_running_stats 
=            line 68 cols 88-88 is '=' 
True         line 68 cols 89-92 is T_BoolConstant (value = true)
)            line 68 cols 93-93 is ')' 
(            line 69 cols 7-7 is '(' 
downsample   line 69 cols 8-17 is T_Identifier 
)            line 69 cols 18-18 is ')' 
:            line 69 cols 19-19 is ':' 
Sequential   line 69 cols 21-30 is T_Sequential 
(            line 69 cols 31-31 is '(' 
(            line 70 cols 9-9 is '(' 
0            line 70 cols 10-10 is T_IntConstant (value = 0)
)            line 70 cols 11-11 is ')' 
:            line 70 cols 12-12 is ':' 
Conv2d       line 70 cols 14-19 is T_Conv2d 
(            line 70 cols 20-20 is '(' 
256          line 70 cols 21-23 is T_IntConstant (value = 256)
,            line 70 cols 24-24 is ',' 
512          line 70 cols 26-28 is T_IntConstant (value = 512)
,            line 70 cols 29-29 is ',' 
kernel_size  line 70 cols 31-41 is T_kernel_size 
=            line 70 cols 42-42 is '=' 
(            line 70 cols 43-43 is '(' 
1            line 70 cols 44-44 is T_IntConstant (value = 1)
,            line 70 cols 45-45 is ',' 
1            line 70 cols 47-47 is T_IntConstant (value = 1)
