ResNet       line 1 cols 1-6 is T_Identifier 
)            line 8 cols 79-79 is ')' 
,            line 8 cols 80-80 is ',' 
bias         line 8 cols 82-85 is T_bias 
=            line 8 cols 86-86 is '=' 
False        line 8 cols 87-91 is T_BoolConstant (value = false)
)            line 8 cols 92-92 is ')' 
(            line 9 cols 7-7 is '(' 
bn1          line 9 cols 8-10 is T_Identifier 
)            line 9 cols 11-11 is ')' 
:            line 9 cols 12-12 is ':' 
BatchNorm2d  line 9 cols 14-24 is T_BatchNorm2d 
(            line 9 cols 25-25 is '(' 
64           line 9 cols 26-27 is T_IntConstant (value = 64)
,            line 9 cols 28-28 is ',' 
eps          line 9 cols 30-32 is T_eps 
=            line 9 cols 33-33 is '=' 
1e-05        line 9 cols 34-38 is T_DoubleConstant (value = 1e-05)
,            line 9 cols 39-39 is ',' 
momentum     line 9 cols 41-48 is T_momentum 
=            line 9 cols 49-49 is '=' 
0.1          line 9 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 9 cols 53-53 is ',' 
affine       line 9 cols 55-60 is T_Identifier 
=            line 9 cols 61-61 is '=' 
True         line 9 cols 62-65 is T_BoolConstant (value = true)
,            line 9 cols 66-66 is ',' 
track_running_stats line 9 cols 68-86 is T_track_running_stats 
=            line 9 cols 87-87 is '=' 
True         line 9 cols 88-91 is T_BoolConstant (value = true)
)            line 9 cols 92-92 is ')' 
(            line 10 cols 7-7 is '(' 
relu         line 10 cols 8-11 is T_Identifier 
)            line 10 cols 12-12 is ')' 
:            line 10 cols 13-13 is ':' 
ReLU         line 10 cols 15-18 is T_ReLU 
(            line 10 cols 19-19 is '(' 
inplace      line 10 cols 20-26 is T_inplace 
=            line 10 cols 27-27 is '=' 
True         line 10 cols 28-31 is T_BoolConstant (value = true)
)            line 10 cols 32-32 is ')' 
(            line 11 cols 7-7 is '(' 
conv2        line 11 cols 8-12 is T_Identifier 
)            line 11 cols 13-13 is ')' 
:            line 11 cols 14-14 is ':' 
Conv2d       line 11 cols 16-21 is T_Conv2d 
(            line 11 cols 22-22 is '(' 
64           line 11 cols 23-24 is T_IntConstant (value = 64)
,            line 11 cols 25-25 is ',' 
64           line 11 cols 27-28 is T_IntConstant (value = 64)
,            line 11 cols 29-29 is ',' 
kernel_size  line 11 cols 31-41 is T_kernel_size 
=            line 11 cols 42-42 is '=' 
(            line 11 cols 43-43 is '(' 
3            line 11 cols 44-44 is T_IntConstant (value = 3)
,            line 11 cols 45-45 is ',' 
3            line 11 cols 47-47 is T_IntConstant (value = 3)
)            line 11 cols 48-48 is ')' 
,            line 11 cols 49-49 is ',' 
stride       line 11 cols 51-56 is T_stride 
=            line 11 cols 57-57 is '=' 
(            line 11 cols 58-58 is '(' 
1            line 11 cols 59-59 is T_IntConstant (value = 1)
,            line 11 cols 60-60 is ',' 
1            line 11 cols 62-62 is T_IntConstant (value = 1)
)            line 11 cols 63-63 is ')' 
,            line 11 cols 64-64 is ',' 
padding      line 11 cols 66-72 is T_padding 
=            line 11 cols 73-73 is '=' 
(            line 11 cols 74-74 is '(' 
1            line 11 cols 75-75 is T_IntConstant (value = 1)
,            line 11 cols 76-76 is ',' 
1            line 11 cols 78-78 is T_IntConstant (value = 1)
)            line 11 cols 79-79 is ')' 
,            line 11 cols 80-80 is ',' 
bias         line 11 cols 82-85 is T_bias 
=            line 11 cols 86-86 is '=' 
False        line 11 cols 87-91 is T_BoolConstant (value = false)
)            line 11 cols 92-92 is ')' 
(            line 12 cols 7-7 is '(' 
bn2          line 12 cols 8-10 is T_Identifier 
)            line 12 cols 11-11 is ')' 
:            line 12 cols 12-12 is ':' 
BatchNorm2d  line 12 cols 14-24 is T_BatchNorm2d 
(            line 12 cols 25-25 is '(' 
64           line 12 cols 26-27 is T_IntConstant (value = 64)
,            line 12 cols 28-28 is ',' 
eps          line 12 cols 30-32 is T_eps 
=            line 12 cols 33-33 is '=' 
1e-05        line 12 cols 34-38 is T_DoubleConstant (value = 1e-05)
,            line 12 cols 39-39 is ',' 
momentum     line 12 cols 41-48 is T_momentum 
=            line 12 cols 49-49 is '=' 
0.1          line 12 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 12 cols 53-53 is ',' 
affine       line 12 cols 55-60 is T_Identifier 
=            line 12 cols 61-61 is '=' 
True         line 12 cols 62-65 is T_BoolConstant (value = true)
,            line 12 cols 66-66 is ',' 
track_running_stats line 12 cols 68-86 is T_track_running_stats 
=            line 12 cols 87-87 is '=' 
True         line 12 cols 88-91 is T_BoolConstant (value = true)
)            line 12 cols 92-92 is ')' 
)            line 13 cols 5-5 is ')' 
(            line 14 cols 5-5 is '(' 
1            line 14 cols 6-6 is T_IntConstant (value = 1)
)            line 14 cols 7-7 is ')' 
:            line 14 cols 8-8 is ':' 
BasicBlock   line 14 cols 10-19 is T_Identifier 
(            line 14 cols 20-20 is '(' 
(            line 15 cols 7-7 is '(' 
conv1        line 15 cols 8-12 is T_Identifier 
)            line 15 cols 13-13 is ')' 
:            line 15 cols 14-14 is ':' 
Conv2d       line 15 cols 16-21 is T_Conv2d 
(            line 15 cols 22-22 is '(' 
64           line 15 cols 23-24 is T_IntConstant (value = 64)
,            line 15 cols 25-25 is ',' 
64           line 15 cols 27-28 is T_IntConstant (value = 64)
,            line 15 cols 29-29 is ',' 
kernel_size  line 15 cols 31-41 is T_kernel_size 
=            line 15 cols 42-42 is '=' 
(            line 15 cols 43-43 is '(' 
3            line 15 cols 44-44 is T_IntConstant (value = 3)
,            line 15 cols 45-45 is ',' 
3            line 15 cols 47-47 is T_IntConstant (value = 3)
)            line 15 cols 48-48 is ')' 
,            line 15 cols 49-49 is ',' 
stride       line 15 cols 51-56 is T_stride 
=            line 15 cols 57-57 is '=' 
(            line 15 cols 58-58 is '(' 
1            line 15 cols 59-59 is T_IntConstant (value = 1)
,            line 15 cols 60-60 is ',' 
1            line 15 cols 62-62 is T_IntConstant (value = 1)
)            line 15 cols 63-63 is ')' 
,            line 15 cols 64-64 is ',' 
padding      line 15 cols 66-72 is T_padding 
=            line 15 cols 73-73 is '=' 
(            line 15 cols 74-74 is '(' 
1            line 15 cols 75-75 is T_IntConstant (value = 1)
,            line 15 cols 76-76 is ',' 
1            line 15 cols 78-78 is T_IntConstant (value = 1)
)            line 15 cols 79-79 is ')' 
,            line 15 cols 80-80 is ',' 
bias         line 15 cols 82-85 is T_bias 
=            line 15 cols 86-86 is '=' 
False        line 15 cols 87-91 is T_BoolConstant (value = false)
)            line 15 cols 92-92 is ')' 
(            line 16 cols 7-7 is '(' 
bn1          line 16 cols 8-10 is T_Identifier 
)            line 16 cols 11-11 is ')' 
:            line 16 cols 12-12 is ':' 
BatchNorm2d  line 16 cols 14-24 is T_BatchNorm2d 
(            line 16 cols 25-25 is '(' 
64           line 16 cols 26-27 is T_IntConstant (value = 64)
,            line 16 cols 28-28 is ',' 
eps          line 16 cols 30-32 is T_eps 
=            line 16 cols 33-33 is '=' 
1e-05        line 16 cols 34-38 is T_DoubleConstant (value = 1e-05)
,            line 16 cols 39-39 is ',' 
momentum     line 16 cols 41-48 is T_momentum 
=            line 16 cols 49-49 is '=' 
0.1          line 16 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 16 cols 53-53 is ',' 
affine       line 16 cols 55-60 is T_Identifier 
=            line 16 cols 61-61 is '=' 
True         line 16 cols 62-65 is T_BoolConstant (value = true)
,            line 16 cols 66-66 is ',' 
track_running_stats line 16 cols 68-86 is T_track_running_stats 
=            line 16 cols 87-87 is '=' 
True         line 16 cols 88-91 is T_BoolConstant (value = true)
)            line 16 cols 92-92 is ')' 
(            line 17 cols 7-7 is '(' 
relu         line 17 cols 8-11 is T_Identifier 
)            line 17 cols 12-12 is ')' 
:            line 17 cols 13-13 is ':' 
ReLU         line 17 cols 15-18 is T_ReLU 
(            line 17 cols 19-19 is '(' 
inplace      line 17 cols 20-26 is T_inplace 
=            line 17 cols 27-27 is '=' 
True         line 17 cols 28-31 is T_BoolConstant (value = true)
)            line 17 cols 32-32 is ')' 
(            line 18 cols 7-7 is '(' 
conv2        line 18 cols 8-12 is T_Identifier 
)            line 18 cols 13-13 is ')' 
:            line 18 cols 14-14 is ':' 
Conv2d       line 18 cols 16-21 is T_Conv2d 
(            line 18 cols 22-22 is '(' 
64           line 18 cols 23-24 is T_IntConstant (value = 64)
,            line 18 cols 25-25 is ',' 
64           line 18 cols 27-28 is T_IntConstant (value = 64)
,            line 18 cols 29-29 is ',' 
kernel_size  line 18 cols 31-41 is T_kernel_size 
=            line 18 cols 42-42 is '=' 
(            line 18 cols 43-43 is '(' 
3            line 18 cols 44-44 is T_IntConstant (value = 3)
,            line 18 cols 45-45 is ',' 
3            line 18 cols 47-47 is T_IntConstant (value = 3)
)            line 18 cols 48-48 is ')' 
,            line 18 cols 49-49 is ',' 
stride       line 18 cols 51-56 is T_stride 
=            line 18 cols 57-57 is '=' 
(            line 18 cols 58-58 is '(' 
1            line 18 cols 59-59 is T_IntConstant (value = 1)
,            line 18 cols 60-60 is ',' 
1            line 18 cols 62-62 is T_IntConstant (value = 1)
)            line 18 cols 63-63 is ')' 
,            line 18 cols 64-64 is ',' 
padding      line 18 cols 66-72 is T_padding 
=            line 18 cols 73-73 is '=' 
(            line 18 cols 74-74 is '(' 
1            line 18 cols 75-75 is T_IntConstant (value = 1)
,            line 18 cols 76-76 is ',' 
1            line 18 cols 78-78 is T_IntConstant (value = 1)
)            line 18 cols 79-79 is ')' 
,            line 18 cols 80-80 is ',' 
bias         line 18 cols 82-85 is T_bias 
=            line 18 cols 86-86 is '=' 
