Inception3   line 1 cols 1-10 is T_Identifier 
64           line 95 cols 25-26 is T_IntConstant (value = 64)
,            line 95 cols 27-27 is ',' 
eps          line 95 cols 29-31 is T_eps 
=            line 95 cols 32-32 is '=' 
0.001        line 95 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 95 cols 38-38 is ',' 
momentum     line 95 cols 40-47 is T_momentum 
=            line 95 cols 48-48 is '=' 
0.1          line 95 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 95 cols 52-52 is ',' 
affine       line 95 cols 54-59 is T_Identifier 
=            line 95 cols 60-60 is '=' 
True         line 95 cols 61-64 is T_BoolConstant (value = true)
,            line 95 cols 65-65 is ',' 
track_running_stats line 95 cols 67-85 is T_track_running_stats 
=            line 95 cols 86-86 is '=' 
True         line 95 cols 87-90 is T_BoolConstant (value = true)
)            line 95 cols 91-91 is ')' 
)            line 96 cols 5-5 is ')' 
(            line 97 cols 5-5 is '(' 
branch3x3dbl_1 line 97 cols 6-19 is T_Identifier 
)            line 97 cols 20-20 is ')' 
:            line 97 cols 21-21 is ':' 
BasicConv2d  line 97 cols 23-33 is T_Identifier 
(            line 97 cols 34-34 is '(' 
(            line 98 cols 7-7 is '(' 
conv         line 98 cols 8-11 is T_Identifier 
)            line 98 cols 12-12 is ')' 
:            line 98 cols 13-13 is ':' 
Conv2d       line 98 cols 15-20 is T_Conv2d 
(            line 98 cols 21-21 is '(' 
288          line 98 cols 22-24 is T_IntConstant (value = 288)
,            line 98 cols 25-25 is ',' 
64           line 98 cols 27-28 is T_IntConstant (value = 64)
,            line 98 cols 29-29 is ',' 
kernel_size  line 98 cols 31-41 is T_kernel_size 
=            line 98 cols 42-42 is '=' 
(            line 98 cols 43-43 is '(' 
1            line 98 cols 44-44 is T_IntConstant (value = 1)
,            line 98 cols 45-45 is ',' 
1            line 98 cols 47-47 is T_IntConstant (value = 1)
)            line 98 cols 48-48 is ')' 
,            line 98 cols 49-49 is ',' 
stride       line 98 cols 51-56 is T_stride 
=            line 98 cols 57-57 is '=' 
(            line 98 cols 58-58 is '(' 
1            line 98 cols 59-59 is T_IntConstant (value = 1)
,            line 98 cols 60-60 is ',' 
1            line 98 cols 62-62 is T_IntConstant (value = 1)
)            line 98 cols 63-63 is ')' 
,            line 98 cols 64-64 is ',' 
bias         line 98 cols 66-69 is T_bias 
=            line 98 cols 70-70 is '=' 
False        line 98 cols 71-75 is T_BoolConstant (value = false)
)            line 98 cols 76-76 is ')' 
(            line 99 cols 7-7 is '(' 
bn           line 99 cols 8-9 is T_Identifier 
)            line 99 cols 10-10 is ')' 
:            line 99 cols 11-11 is ':' 
BatchNorm2d  line 99 cols 13-23 is T_BatchNorm2d 
(            line 99 cols 24-24 is '(' 
64           line 99 cols 25-26 is T_IntConstant (value = 64)
,            line 99 cols 27-27 is ',' 
eps          line 99 cols 29-31 is T_eps 
=            line 99 cols 32-32 is '=' 
0.001        line 99 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 99 cols 38-38 is ',' 
momentum     line 99 cols 40-47 is T_momentum 
=            line 99 cols 48-48 is '=' 
0.1          line 99 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 99 cols 52-52 is ',' 
affine       line 99 cols 54-59 is T_Identifier 
=            line 99 cols 60-60 is '=' 
True         line 99 cols 61-64 is T_BoolConstant (value = true)
,            line 99 cols 65-65 is ',' 
track_running_stats line 99 cols 67-85 is T_track_running_stats 
=            line 99 cols 86-86 is '=' 
True         line 99 cols 87-90 is T_BoolConstant (value = true)
)            line 99 cols 91-91 is ')' 
)            line 100 cols 5-5 is ')' 
(            line 101 cols 5-5 is '(' 
branch3x3dbl_2 line 101 cols 6-19 is T_Identifier 
)            line 101 cols 20-20 is ')' 
:            line 101 cols 21-21 is ':' 
BasicConv2d  line 101 cols 23-33 is T_Identifier 
(            line 101 cols 34-34 is '(' 
(            line 102 cols 7-7 is '(' 
conv         line 102 cols 8-11 is T_Identifier 
)            line 102 cols 12-12 is ')' 
:            line 102 cols 13-13 is ':' 
Conv2d       line 102 cols 15-20 is T_Conv2d 
(            line 102 cols 21-21 is '(' 
64           line 102 cols 22-23 is T_IntConstant (value = 64)
,            line 102 cols 24-24 is ',' 
96           line 102 cols 26-27 is T_IntConstant (value = 96)
,            line 102 cols 28-28 is ',' 
kernel_size  line 102 cols 30-40 is T_kernel_size 
=            line 102 cols 41-41 is '=' 
(            line 102 cols 42-42 is '(' 
3            line 102 cols 43-43 is T_IntConstant (value = 3)
,            line 102 cols 44-44 is ',' 
3            line 102 cols 46-46 is T_IntConstant (value = 3)
)            line 102 cols 47-47 is ')' 
,            line 102 cols 48-48 is ',' 
stride       line 102 cols 50-55 is T_stride 
=            line 102 cols 56-56 is '=' 
(            line 102 cols 57-57 is '(' 
1            line 102 cols 58-58 is T_IntConstant (value = 1)
,            line 102 cols 59-59 is ',' 
1            line 102 cols 61-61 is T_IntConstant (value = 1)
)            line 102 cols 62-62 is ')' 
,            line 102 cols 63-63 is ',' 
padding      line 102 cols 65-71 is T_padding 
=            line 102 cols 72-72 is '=' 
(            line 102 cols 73-73 is '(' 
1            line 102 cols 74-74 is T_IntConstant (value = 1)
,            line 102 cols 75-75 is ',' 
1            line 102 cols 77-77 is T_IntConstant (value = 1)
)            line 102 cols 78-78 is ')' 
,            line 102 cols 79-79 is ',' 
bias         line 102 cols 81-84 is T_bias 
=            line 102 cols 85-85 is '=' 
False        line 102 cols 86-90 is T_BoolConstant (value = false)
)            line 102 cols 91-91 is ')' 
(            line 103 cols 7-7 is '(' 
bn           line 103 cols 8-9 is T_Identifier 
)            line 103 cols 10-10 is ')' 
:            line 103 cols 11-11 is ':' 
BatchNorm2d  line 103 cols 13-23 is T_BatchNorm2d 
(            line 103 cols 24-24 is '(' 
96           line 103 cols 25-26 is T_IntConstant (value = 96)
,            line 103 cols 27-27 is ',' 
eps          line 103 cols 29-31 is T_eps 
=            line 103 cols 32-32 is '=' 
0.001        line 103 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 103 cols 38-38 is ',' 
momentum     line 103 cols 40-47 is T_momentum 
=            line 103 cols 48-48 is '=' 
0.1          line 103 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 103 cols 52-52 is ',' 
affine       line 103 cols 54-59 is T_Identifier 
=            line 103 cols 60-60 is '=' 
True         line 103 cols 61-64 is T_BoolConstant (value = true)
,            line 103 cols 65-65 is ',' 
track_running_stats line 103 cols 67-85 is T_track_running_stats 
=            line 103 cols 86-86 is '=' 
True         line 103 cols 87-90 is T_BoolConstant (value = true)
)            line 103 cols 91-91 is ')' 
)            line 104 cols 5-5 is ')' 
(            line 105 cols 5-5 is '(' 
branch3x3dbl_3 line 105 cols 6-19 is T_Identifier 
)            line 105 cols 20-20 is ')' 
:            line 105 cols 21-21 is ':' 
BasicConv2d  line 105 cols 23-33 is T_Identifier 
(            line 105 cols 34-34 is '(' 
(            line 106 cols 7-7 is '(' 
conv         line 106 cols 8-11 is T_Identifier 
)            line 106 cols 12-12 is ')' 
:            line 106 cols 13-13 is ':' 
Conv2d       line 106 cols 15-20 is T_Conv2d 
(            line 106 cols 21-21 is '(' 
96           line 106 cols 22-23 is T_IntConstant (value = 96)
,            line 106 cols 24-24 is ',' 
96           line 106 cols 26-27 is T_IntConstant (value = 96)
,            line 106 cols 28-28 is ',' 
kernel_size  line 106 cols 30-40 is T_kernel_size 
=            line 106 cols 41-41 is '=' 
(            line 106 cols 42-42 is '(' 
3            line 106 cols 43-43 is T_IntConstant (value = 3)
,            line 106 cols 44-44 is ',' 
3            line 106 cols 46-46 is T_IntConstant (value = 3)
)            line 106 cols 47-47 is ')' 
,            line 106 cols 48-48 is ',' 
stride       line 106 cols 50-55 is T_stride 
=            line 106 cols 56-56 is '=' 
(            line 106 cols 57-57 is '(' 
1            line 106 cols 58-58 is T_IntConstant (value = 1)
,            line 106 cols 59-59 is ',' 
1            line 106 cols 61-61 is T_IntConstant (value = 1)
)            line 106 cols 62-62 is ')' 
,            line 106 cols 63-63 is ',' 
padding      line 106 cols 65-71 is T_padding 
=            line 106 cols 72-72 is '=' 
(            line 106 cols 73-73 is '(' 
1            line 106 cols 74-74 is T_IntConstant (value = 1)
,            line 106 cols 75-75 is ',' 
1            line 106 cols 77-77 is T_IntConstant (value = 1)
)            line 106 cols 78-78 is ')' 
,            line 106 cols 79-79 is ',' 
bias         line 106 cols 81-84 is T_bias 
=            line 106 cols 85-85 is '=' 
False        line 106 cols 86-90 is T_BoolConstant (value = false)
)            line 106 cols 91-91 is ')' 
(            line 107 cols 7-7 is '(' 
bn           line 107 cols 8-9 is T_Identifier 
)            line 107 cols 10-10 is ')' 
:            line 107 cols 11-11 is ':' 
BatchNorm2d  line 107 cols 13-23 is T_BatchNorm2d 
(            line 107 cols 24-24 is '(' 
96           line 107 cols 25-26 is T_IntConstant (value = 96)
,            line 107 cols 27-27 is ',' 
eps          line 107 cols 29-31 is T_eps 
=            line 107 cols 32-32 is '=' 
0.001        line 107 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 107 cols 38-38 is ',' 
momentum     line 107 cols 40-47 is T_momentum 
=            line 107 cols 48-48 is '=' 
0.1          line 107 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 107 cols 52-52 is ',' 
affine       line 107 cols 54-59 is T_Identifier 
=            line 107 cols 60-60 is '=' 
True         line 107 cols 61-64 is T_BoolConstant (value = true)
,            line 107 cols 65-65 is ',' 
track_running_stats line 107 cols 67-85 is T_track_running_stats 
=            line 107 cols 86-86 is '=' 
True         line 107 cols 87-90 is T_BoolConstant (value = true)
)            line 107 cols 91-91 is ')' 
)            line 108 cols 5-5 is ')' 
(            line 109 cols 5-5 is '(' 
branch_pool  line 109 cols 6-16 is T_Identifier 
)            line 109 cols 17-17 is ')' 
:            line 109 cols 18-18 is ':' 
BasicConv2d  line 109 cols 20-30 is T_Identifier 
(            line 109 cols 31-31 is '(' 
(            line 110 cols 7-7 is '(' 
conv         line 110 cols 8-11 is T_Identifier 
)            line 110 cols 12-12 is ')' 
:            line 110 cols 13-13 is ':' 
Conv2d       line 110 cols 15-20 is T_Conv2d 
(            line 110 cols 21-21 is '(' 
288          line 110 cols 22-24 is T_IntConstant (value = 288)
,            line 110 cols 25-25 is ',' 
64           line 110 cols 27-28 is T_IntConstant (value = 64)
,            line 110 cols 29-29 is ',' 
kernel_size  line 110 cols 31-41 is T_kernel_size 
=            line 110 cols 42-42 is '=' 
(            line 110 cols 43-43 is '(' 
1            line 110 cols 44-44 is T_IntConstant (value = 1)
,            line 110 cols 45-45 is ',' 
1            line 110 cols 47-47 is T_IntConstant (value = 1)
)            line 110 cols 48-48 is ')' 
,            line 110 cols 49-49 is ',' 
stride       line 110 cols 51-56 is T_stride 
=            line 110 cols 57-57 is '=' 
(            line 110 cols 58-58 is '(' 
1            line 110 cols 59-59 is T_IntConstant (value = 1)
,            line 110 cols 60-60 is ',' 
1            line 110 cols 62-62 is T_IntConstant (value = 1)
)            line 110 cols 63-63 is ')' 
,            line 110 cols 64-64 is ',' 
bias         line 110 cols 66-69 is T_bias 
=            line 110 cols 70-70 is '=' 
False        line 110 cols 71-75 is T_BoolConstant (value = false)
)            line 110 cols 76-76 is ')' 
(            line 111 cols 7-7 is '(' 
bn           line 111 cols 8-9 is T_Identifier 
)            line 111 cols 10-10 is ')' 
:            line 111 cols 11-11 is ':' 
BatchNorm2d  line 111 cols 13-23 is T_BatchNorm2d 
(            line 111 cols 24-24 is '(' 
64           line 111 cols 25-26 is T_IntConstant (value = 64)
,            line 111 cols 27-27 is ',' 
eps          line 111 cols 29-31 is T_eps 
=            line 111 cols 32-32 is '=' 
0.001        line 111 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 111 cols 38-38 is ',' 
momentum     line 111 cols 40-47 is T_momentum 
=            line 111 cols 48-48 is '=' 
0.1          line 111 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 111 cols 52-52 is ',' 
affine       line 111 cols 54-59 is T_Identifier 
=            line 111 cols 60-60 is '=' 
True         line 111 cols 61-64 is T_BoolConstant (value = true)
,            line 111 cols 65-65 is ',' 
track_running_stats line 111 cols 67-85 is T_track_running_stats 
=            line 111 cols 86-86 is '=' 
True         line 111 cols 87-90 is T_BoolConstant (value = true)
)            line 111 cols 91-91 is ')' 
)            line 112 cols 5-5 is ')' 
)            line 113 cols 3-3 is ')' 
(            line 114 cols 3-3 is '(' 
Mixed_6a     line 114 cols 4-11 is T_Identifier 
)            line 114 cols 12-12 is ')' 
:            line 114 cols 13-13 is ':' 
InceptionB   line 114 cols 15-24 is T_Identifier 
(            line 114 cols 25-25 is '(' 
(            line 115 cols 5-5 is '(' 
branch3x3    line 115 cols 6-14 is T_Identifier 
)            line 115 cols 15-15 is ')' 
:            line 115 cols 16-16 is ':' 
BasicConv2d  line 115 cols 18-28 is T_Identifier 
(            line 115 cols 29-29 is '(' 
(            line 116 cols 7-7 is '(' 
conv         line 116 cols 8-11 is T_Identifier 
)            line 116 cols 12-12 is ')' 
:            line 116 cols 13-13 is ':' 
Conv2d       line 116 cols 15-20 is T_Conv2d 
(            line 116 cols 21-21 is '(' 
288          line 116 cols 22-24 is T_IntConstant (value = 288)
,            line 116 cols 25-25 is ',' 
384          line 116 cols 27-29 is T_IntConstant (value = 384)
,            line 116 cols 30-30 is ',' 
kernel_size  line 116 cols 32-42 is T_kernel_size 
=            line 116 cols 43-43 is '=' 
(            line 116 cols 44-44 is '(' 
3            line 116 cols 45-45 is T_IntConstant (value = 3)
,            line 116 cols 46-46 is ',' 
3            line 116 cols 48-48 is T_IntConstant (value = 3)
)            line 116 cols 49-49 is ')' 
,            line 116 cols 50-50 is ',' 
stride       line 116 cols 52-57 is T_stride 
=            line 116 cols 58-58 is '=' 
(            line 116 cols 59-59 is '(' 
2            line 116 cols 60-60 is T_IntConstant (value = 2)
,            line 116 cols 61-61 is ',' 
2            line 116 cols 63-63 is T_IntConstant (value = 2)
)            line 116 cols 64-64 is ')' 
,            line 116 cols 65-65 is ',' 
bias         line 116 cols 67-70 is T_bias 
=            line 116 cols 71-71 is '=' 
False        line 116 cols 72-76 is T_BoolConstant (value = false)
)            line 116 cols 77-77 is ')' 
(            line 117 cols 7-7 is '(' 
bn           line 117 cols 8-9 is T_Identifier 
)            line 117 cols 10-10 is ')' 
:            line 117 cols 11-11 is ':' 
BatchNorm2d  line 117 cols 13-23 is T_BatchNorm2d 
(            line 117 cols 24-24 is '(' 
384          line 117 cols 25-27 is T_IntConstant (value = 384)
,            line 117 cols 28-28 is ',' 
eps          line 117 cols 30-32 is T_eps 
=            line 117 cols 33-33 is '=' 
0.001        line 117 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 117 cols 39-39 is ',' 
momentum     line 117 cols 41-48 is T_momentum 
=            line 117 cols 49-49 is '=' 
0.1          line 117 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 117 cols 53-53 is ',' 
affine       line 117 cols 55-60 is T_Identifier 
=            line 117 cols 61-61 is '=' 
True         line 117 cols 62-65 is T_BoolConstant (value = true)
,            line 117 cols 66-66 is ',' 
track_running_stats line 117 cols 68-86 is T_track_running_stats 
=            line 117 cols 87-87 is '=' 
True         line 117 cols 88-91 is T_BoolConstant (value = true)
)            line 117 cols 92-92 is ')' 
)            line 118 cols 5-5 is ')' 
(            line 119 cols 5-5 is '(' 
branch3x3dbl_1 line 119 cols 6-19 is T_Identifier 
)            line 119 cols 20-20 is ')' 
:            line 119 cols 21-21 is ':' 
BasicConv2d  line 119 cols 23-33 is T_Identifier 
(            line 119 cols 34-34 is '(' 
(            line 120 cols 7-7 is '(' 
conv         line 120 cols 8-11 is T_Identifier 
)            line 120 cols 12-12 is ')' 
:            line 120 cols 13-13 is ':' 
Conv2d       line 120 cols 15-20 is T_Conv2d 
(            line 120 cols 21-21 is '(' 
288          line 120 cols 22-24 is T_IntConstant (value = 288)
,            line 120 cols 25-25 is ',' 
64           line 120 cols 27-28 is T_IntConstant (value = 64)
,            line 120 cols 29-29 is ',' 
kernel_size  line 120 cols 31-41 is T_kernel_size 
=            line 120 cols 42-42 is '=' 
(            line 120 cols 43-43 is '(' 
1            line 120 cols 44-44 is T_IntConstant (value = 1)
,            line 120 cols 45-45 is ',' 
1            line 120 cols 47-47 is T_IntConstant (value = 1)
)            line 120 cols 48-48 is ')' 
,            line 120 cols 49-49 is ',' 
stride       line 120 cols 51-56 is T_stride 
=            line 120 cols 57-57 is '=' 
(            line 120 cols 58-58 is '(' 
1            line 120 cols 59-59 is T_IntConstant (value = 1)
,            line 120 cols 60-60 is ',' 
1            line 120 cols 62-62 is T_IntConstant (value = 1)
)            line 120 cols 63-63 is ')' 
,            line 120 cols 64-64 is ',' 
bias         line 120 cols 66-69 is T_bias 
=            line 120 cols 70-70 is '=' 
False        line 120 cols 71-75 is T_BoolConstant (value = false)
)            line 120 cols 76-76 is ')' 
(            line 121 cols 7-7 is '(' 
bn           line 121 cols 8-9 is T_Identifier 
)            line 121 cols 10-10 is ')' 
:            line 121 cols 11-11 is ':' 
BatchNorm2d  line 121 cols 13-23 is T_BatchNorm2d 
(            line 121 cols 24-24 is '(' 
64           line 121 cols 25-26 is T_IntConstant (value = 64)
,            line 121 cols 27-27 is ',' 
eps          line 121 cols 29-31 is T_eps 
=            line 121 cols 32-32 is '=' 
0.001        line 121 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 121 cols 38-38 is ',' 
momentum     line 121 cols 40-47 is T_momentum 
=            line 121 cols 48-48 is '=' 
0.1          line 121 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 121 cols 52-52 is ',' 
affine       line 121 cols 54-59 is T_Identifier 
=            line 121 cols 60-60 is '=' 
True         line 121 cols 61-64 is T_BoolConstant (value = true)
,            line 121 cols 65-65 is ',' 
track_running_stats line 121 cols 67-85 is T_track_running_stats 
=            line 121 cols 86-86 is '=' 
True         line 121 cols 87-90 is T_BoolConstant (value = true)
)            line 121 cols 91-91 is ')' 
)            line 122 cols 5-5 is ')' 
(            line 123 cols 5-5 is '(' 
branch3x3dbl_2 line 123 cols 6-19 is T_Identifier 
)            line 123 cols 20-20 is ')' 
:            line 123 cols 21-21 is ':' 
BasicConv2d  line 123 cols 23-33 is T_Identifier 
(            line 123 cols 34-34 is '(' 
(            line 124 cols 7-7 is '(' 
conv         line 124 cols 8-11 is T_Identifier 
)            line 124 cols 12-12 is ')' 
:            line 124 cols 13-13 is ':' 
Conv2d       line 124 cols 15-20 is T_Conv2d 
(            line 124 cols 21-21 is '(' 
64           line 124 cols 22-23 is T_IntConstant (value = 64)
,            line 124 cols 24-24 is ',' 
96           line 124 cols 26-27 is T_IntConstant (value = 96)
,            line 124 cols 28-28 is ',' 
kernel_size  line 124 cols 30-40 is T_kernel_size 
=            line 124 cols 41-41 is '=' 
(            line 124 cols 42-42 is '(' 
3            line 124 cols 43-43 is T_IntConstant (value = 3)
,            line 124 cols 44-44 is ',' 
3            line 124 cols 46-46 is T_IntConstant (value = 3)
)            line 124 cols 47-47 is ')' 
,            line 124 cols 48-48 is ',' 
stride       line 124 cols 50-55 is T_stride 
=            line 124 cols 56-56 is '=' 
(            line 124 cols 57-57 is '(' 
1            line 124 cols 58-58 is T_IntConstant (value = 1)
,            line 124 cols 59-59 is ',' 
1            line 124 cols 61-61 is T_IntConstant (value = 1)
)            line 124 cols 62-62 is ')' 
,            line 124 cols 63-63 is ',' 
padding      line 124 cols 65-71 is T_padding 
=            line 124 cols 72-72 is '=' 
(            line 124 cols 73-73 is '(' 
1            line 124 cols 74-74 is T_IntConstant (value = 1)
,            line 124 cols 75-75 is ',' 
1            line 124 cols 77-77 is T_IntConstant (value = 1)
)            line 124 cols 78-78 is ')' 
,            line 124 cols 79-79 is ',' 
bias         line 124 cols 81-84 is T_bias 
=            line 124 cols 85-85 is '=' 
False        line 124 cols 86-90 is T_BoolConstant (value = false)
)            line 124 cols 91-91 is ')' 
(            line 125 cols 7-7 is '(' 
bn           line 125 cols 8-9 is T_Identifier 
)            line 125 cols 10-10 is ')' 
:            line 125 cols 11-11 is ':' 
BatchNorm2d  line 125 cols 13-23 is T_BatchNorm2d 
(            line 125 cols 24-24 is '(' 
96           line 125 cols 25-26 is T_IntConstant (value = 96)
,            line 125 cols 27-27 is ',' 
eps          line 125 cols 29-31 is T_eps 
=            line 125 cols 32-32 is '=' 
0.001        line 125 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 125 cols 38-38 is ',' 
momentum     line 125 cols 40-47 is T_momentum 
=            line 125 cols 48-48 is '=' 
0.1          line 125 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 125 cols 52-52 is ',' 
affine       line 125 cols 54-59 is T_Identifier 
=            line 125 cols 60-60 is '=' 
True         line 125 cols 61-64 is T_BoolConstant (value = true)
,            line 125 cols 65-65 is ',' 
track_running_stats line 125 cols 67-85 is T_track_running_stats 
=            line 125 cols 86-86 is '=' 
True         line 125 cols 87-90 is T_BoolConstant (value = true)
)            line 125 cols 91-91 is ')' 
)            line 126 cols 5-5 is ')' 
(            line 127 cols 5-5 is '(' 
branch3x3dbl_3 line 127 cols 6-19 is T_Identifier 
)            line 127 cols 20-20 is ')' 
:            line 127 cols 21-21 is ':' 
BasicConv2d  line 127 cols 23-33 is T_Identifier 
(            line 127 cols 34-34 is '(' 
(            line 128 cols 7-7 is '(' 
conv         line 128 cols 8-11 is T_Identifier 
)            line 128 cols 12-12 is ')' 
:            line 128 cols 13-13 is ':' 
Conv2d       line 128 cols 15-20 is T_Conv2d 
(            line 128 cols 21-21 is '(' 
96           line 128 cols 22-23 is T_IntConstant (value = 96)
,            line 128 cols 24-24 is ',' 
96           line 128 cols 26-27 is T_IntConstant (value = 96)
,            line 128 cols 28-28 is ',' 
kernel_size  line 128 cols 30-40 is T_kernel_size 
=            line 128 cols 41-41 is '=' 
(            line 128 cols 42-42 is '(' 
3            line 128 cols 43-43 is T_IntConstant (value = 3)
,            line 128 cols 44-44 is ',' 
3            line 128 cols 46-46 is T_IntConstant (value = 3)
)            line 128 cols 47-47 is ')' 
,            line 128 cols 48-48 is ',' 
stride       line 128 cols 50-55 is T_stride 
=            line 128 cols 56-56 is '=' 
(            line 128 cols 57-57 is '(' 
2            line 128 cols 58-58 is T_IntConstant (value = 2)
,            line 128 cols 59-59 is ',' 
2            line 128 cols 61-61 is T_IntConstant (value = 2)
)            line 128 cols 62-62 is ')' 
,            line 128 cols 63-63 is ',' 
bias         line 128 cols 65-68 is T_bias 
=            line 128 cols 69-69 is '=' 
False        line 128 cols 70-74 is T_BoolConstant (value = false)
)            line 128 cols 75-75 is ')' 
(            line 129 cols 7-7 is '(' 
bn           line 129 cols 8-9 is T_Identifier 
)            line 129 cols 10-10 is ')' 
:            line 129 cols 11-11 is ':' 
BatchNorm2d  line 129 cols 13-23 is T_BatchNorm2d 
(            line 129 cols 24-24 is '(' 
96           line 129 cols 25-26 is T_IntConstant (value = 96)
,            line 129 cols 27-27 is ',' 
eps          line 129 cols 29-31 is T_eps 
=            line 129 cols 32-32 is '=' 
0.001        line 129 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 129 cols 38-38 is ',' 
momentum     line 129 cols 40-47 is T_momentum 
=            line 129 cols 48-48 is '=' 
0.1          line 129 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 129 cols 52-52 is ',' 
affine       line 129 cols 54-59 is T_Identifier 
=            line 129 cols 60-60 is '=' 
True         line 129 cols 61-64 is T_BoolConstant (value = true)
,            line 129 cols 65-65 is ',' 
track_running_stats line 129 cols 67-85 is T_track_running_stats 
=            line 129 cols 86-86 is '=' 
True         line 129 cols 87-90 is T_BoolConstant (value = true)
)            line 129 cols 91-91 is ')' 
)            line 130 cols 5-5 is ')' 
)            line 131 cols 3-3 is ')' 
(            line 132 cols 3-3 is '(' 
Mixed_6b     line 132 cols 4-11 is T_Identifier 
)            line 132 cols 12-12 is ')' 
:            line 132 cols 13-13 is ':' 
InceptionC   line 132 cols 15-24 is T_Identifier 
(            line 132 cols 25-25 is '(' 
(            line 133 cols 5-5 is '(' 
branch1x1    line 133 cols 6-14 is T_Identifier 
)            line 133 cols 15-15 is ')' 
:            line 133 cols 16-16 is ':' 
BasicConv2d  line 133 cols 18-28 is T_Identifier 
(            line 133 cols 29-29 is '(' 
(            line 134 cols 7-7 is '(' 
conv         line 134 cols 8-11 is T_Identifier 
)            line 134 cols 12-12 is ')' 
:            line 134 cols 13-13 is ':' 
Conv2d       line 134 cols 15-20 is T_Conv2d 
(            line 134 cols 21-21 is '(' 
768          line 134 cols 22-24 is T_IntConstant (value = 768)
,            line 134 cols 25-25 is ',' 
192          line 134 cols 27-29 is T_IntConstant (value = 192)
,            line 134 cols 30-30 is ',' 
kernel_size  line 134 cols 32-42 is T_kernel_size 
=            line 134 cols 43-43 is '=' 
(            line 134 cols 44-44 is '(' 
1            line 134 cols 45-45 is T_IntConstant (value = 1)
,            line 134 cols 46-46 is ',' 
1            line 134 cols 48-48 is T_IntConstant (value = 1)
)            line 134 cols 49-49 is ')' 
,            line 134 cols 50-50 is ',' 
stride       line 134 cols 52-57 is T_stride 
=            line 134 cols 58-58 is '=' 
(            line 134 cols 59-59 is '(' 
1            line 134 cols 60-60 is T_IntConstant (value = 1)
,            line 134 cols 61-61 is ',' 
1            line 134 cols 63-63 is T_IntConstant (value = 1)
)            line 134 cols 64-64 is ')' 
,            line 134 cols 65-65 is ',' 
bias         line 134 cols 67-70 is T_bias 
=            line 134 cols 71-71 is '=' 
False        line 134 cols 72-76 is T_BoolConstant (value = false)
)            line 134 cols 77-77 is ')' 
(            line 135 cols 7-7 is '(' 
bn           line 135 cols 8-9 is T_Identifier 
)            line 135 cols 10-10 is ')' 
:            line 135 cols 11-11 is ':' 
BatchNorm2d  line 135 cols 13-23 is T_BatchNorm2d 
(            line 135 cols 24-24 is '(' 
192          line 135 cols 25-27 is T_IntConstant (value = 192)
,            line 135 cols 28-28 is ',' 
eps          line 135 cols 30-32 is T_eps 
=            line 135 cols 33-33 is '=' 
0.001        line 135 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 135 cols 39-39 is ',' 
momentum     line 135 cols 41-48 is T_momentum 
=            line 135 cols 49-49 is '=' 
0.1          line 135 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 135 cols 53-53 is ',' 
affine       line 135 cols 55-60 is T_Identifier 
=            line 135 cols 61-61 is '=' 
True         line 135 cols 62-65 is T_BoolConstant (value = true)
,            line 135 cols 66-66 is ',' 
track_running_stats line 135 cols 68-86 is T_track_running_stats 
=            line 135 cols 87-87 is '=' 
True         line 135 cols 88-91 is T_BoolConstant (value = true)
)            line 135 cols 92-92 is ')' 
)            line 136 cols 5-5 is ')' 
(            line 137 cols 5-5 is '(' 
branch7x7_1  line 137 cols 6-16 is T_Identifier 
)            line 137 cols 17-17 is ')' 
:            line 137 cols 18-18 is ':' 
BasicConv2d  line 137 cols 20-30 is T_Identifier 
(            line 137 cols 31-31 is '(' 
(            line 138 cols 7-7 is '(' 
conv         line 138 cols 8-11 is T_Identifier 
)            line 138 cols 12-12 is ')' 
:            line 138 cols 13-13 is ':' 
Conv2d       line 138 cols 15-20 is T_Conv2d 
(            line 138 cols 21-21 is '(' 
768          line 138 cols 22-24 is T_IntConstant (value = 768)
,            line 138 cols 25-25 is ',' 
128          line 138 cols 27-29 is T_IntConstant (value = 128)
,            line 138 cols 30-30 is ',' 
kernel_size  line 138 cols 32-42 is T_kernel_size 
=            line 138 cols 43-43 is '=' 
(            line 138 cols 44-44 is '(' 
1            line 138 cols 45-45 is T_IntConstant (value = 1)
,            line 138 cols 46-46 is ',' 
