Inception3   line 1 cols 1-10 is T_Identifier 
3            line 11 cols 41-41 is T_IntConstant (value = 3)
,            line 11 cols 42-42 is ',' 
3            line 11 cols 44-44 is T_IntConstant (value = 3)
)            line 11 cols 45-45 is ')' 
,            line 11 cols 46-46 is ',' 
stride       line 11 cols 48-53 is T_stride 
=            line 11 cols 54-54 is '=' 
(            line 11 cols 55-55 is '(' 
1            line 11 cols 56-56 is T_IntConstant (value = 1)
,            line 11 cols 57-57 is ',' 
1            line 11 cols 59-59 is T_IntConstant (value = 1)
)            line 11 cols 60-60 is ')' 
,            line 11 cols 61-61 is ',' 
padding      line 11 cols 63-69 is T_padding 
=            line 11 cols 70-70 is '=' 
(            line 11 cols 71-71 is '(' 
1            line 11 cols 72-72 is T_IntConstant (value = 1)
,            line 11 cols 73-73 is ',' 
1            line 11 cols 75-75 is T_IntConstant (value = 1)
)            line 11 cols 76-76 is ')' 
,            line 11 cols 77-77 is ',' 
bias         line 11 cols 79-82 is T_bias 
=            line 11 cols 83-83 is '=' 
False        line 11 cols 84-88 is T_BoolConstant (value = false)
)            line 11 cols 89-89 is ')' 
(            line 12 cols 5-5 is '(' 
bn           line 12 cols 6-7 is T_Identifier 
)            line 12 cols 8-8 is ')' 
:            line 12 cols 9-9 is ':' 
BatchNorm2d  line 12 cols 11-21 is T_BatchNorm2d 
(            line 12 cols 22-22 is '(' 
64           line 12 cols 23-24 is T_IntConstant (value = 64)
,            line 12 cols 25-25 is ',' 
eps          line 12 cols 27-29 is T_eps 
=            line 12 cols 30-30 is '=' 
0.001        line 12 cols 31-35 is T_DoubleConstant (value = 0.001)
,            line 12 cols 36-36 is ',' 
momentum     line 12 cols 38-45 is T_momentum 
=            line 12 cols 46-46 is '=' 
0.1          line 12 cols 47-49 is T_DoubleConstant (value = 0.1)
,            line 12 cols 50-50 is ',' 
affine       line 12 cols 52-57 is T_Identifier 
=            line 12 cols 58-58 is '=' 
True         line 12 cols 59-62 is T_BoolConstant (value = true)
,            line 12 cols 63-63 is ',' 
track_running_stats line 12 cols 65-83 is T_track_running_stats 
=            line 12 cols 84-84 is '=' 
True         line 12 cols 85-88 is T_BoolConstant (value = true)
)            line 12 cols 89-89 is ')' 
)            line 13 cols 3-3 is ')' 
(            line 14 cols 3-3 is '(' 
maxpool1     line 14 cols 4-11 is T_Identifier 
)            line 14 cols 12-12 is ')' 
:            line 14 cols 13-13 is ':' 
MaxPool2d    line 14 cols 15-23 is T_MaxPool2d 
(            line 14 cols 24-24 is '(' 
kernel_size  line 14 cols 25-35 is T_kernel_size 
=            line 14 cols 36-36 is '=' 
3            line 14 cols 37-37 is T_IntConstant (value = 3)
,            line 14 cols 38-38 is ',' 
stride       line 14 cols 40-45 is T_stride 
=            line 14 cols 46-46 is '=' 
2            line 14 cols 47-47 is T_IntConstant (value = 2)
,            line 14 cols 48-48 is ',' 
padding      line 14 cols 50-56 is T_padding 
=            line 14 cols 57-57 is '=' 
0            line 14 cols 58-58 is T_IntConstant (value = 0)
,            line 14 cols 59-59 is ',' 
dilation     line 14 cols 61-68 is T_dilation 
=            line 14 cols 69-69 is '=' 
1            line 14 cols 70-70 is T_IntConstant (value = 1)
,            line 14 cols 71-71 is ',' 
ceil_mode    line 14 cols 73-81 is T_ceil_mode 
=            line 14 cols 82-82 is '=' 
False        line 14 cols 83-87 is T_BoolConstant (value = false)
)            line 14 cols 88-88 is ')' 
(            line 15 cols 3-3 is '(' 
Conv2d_3b_1x1 line 15 cols 4-16 is T_Identifier 
)            line 15 cols 17-17 is ')' 
:            line 15 cols 18-18 is ':' 
BasicConv2d  line 15 cols 20-30 is T_Identifier 
(            line 15 cols 31-31 is '(' 
(            line 16 cols 5-5 is '(' 
conv         line 16 cols 6-9 is T_Identifier 
)            line 16 cols 10-10 is ')' 
:            line 16 cols 11-11 is ':' 
Conv2d       line 16 cols 13-18 is T_Conv2d 
(            line 16 cols 19-19 is '(' 
64           line 16 cols 20-21 is T_IntConstant (value = 64)
,            line 16 cols 22-22 is ',' 
80           line 16 cols 24-25 is T_IntConstant (value = 80)
,            line 16 cols 26-26 is ',' 
kernel_size  line 16 cols 28-38 is T_kernel_size 
=            line 16 cols 39-39 is '=' 
(            line 16 cols 40-40 is '(' 
