DenseNet     line 1 cols 1-8 is T_Identifier 
)            line 65 cols 15-15 is ')' 
:            line 65 cols 16-16 is ':' 
BatchNorm2d  line 65 cols 18-28 is T_BatchNorm2d 
(            line 65 cols 29-29 is '(' 
128          line 65 cols 30-32 is T_IntConstant (value = 128)
,            line 65 cols 33-33 is ',' 
eps          line 65 cols 35-37 is T_eps 
=            line 65 cols 38-38 is '=' 
1e-05        line 65 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 65 cols 44-44 is ',' 
momentum     line 65 cols 46-53 is T_momentum 
=            line 65 cols 54-54 is '=' 
0.1          line 65 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 65 cols 58-58 is ',' 
affine       line 65 cols 60-65 is T_Identifier 
=            line 65 cols 66-66 is '=' 
True         line 65 cols 67-70 is T_BoolConstant (value = true)
,            line 65 cols 71-71 is ',' 
track_running_stats line 65 cols 73-91 is T_track_running_stats 
=            line 65 cols 92-92 is '=' 
True         line 65 cols 93-96 is T_BoolConstant (value = true)
)            line 65 cols 97-97 is ')' 
(            line 66 cols 9-9 is '(' 
relu1        line 66 cols 10-14 is T_Identifier 
)            line 66 cols 15-15 is ')' 
:            line 66 cols 16-16 is ':' 
ReLU         line 66 cols 18-21 is T_ReLU 
(            line 66 cols 22-22 is '(' 
inplace      line 66 cols 23-29 is T_inplace 
=            line 66 cols 30-30 is '=' 
True         line 66 cols 31-34 is T_BoolConstant (value = true)
)            line 66 cols 35-35 is ')' 
(            line 67 cols 9-9 is '(' 
conv1        line 67 cols 10-14 is T_Identifier 
)            line 67 cols 15-15 is ')' 
:            line 67 cols 16-16 is ':' 
Conv2d       line 67 cols 18-23 is T_Conv2d 
(            line 67 cols 24-24 is '(' 
128          line 67 cols 25-27 is T_IntConstant (value = 128)
,            line 67 cols 28-28 is ',' 
128          line 67 cols 30-32 is T_IntConstant (value = 128)
,            line 67 cols 33-33 is ',' 
kernel_size  line 67 cols 35-45 is T_kernel_size 
=            line 67 cols 46-46 is '=' 
(            line 67 cols 47-47 is '(' 
1            line 67 cols 48-48 is T_IntConstant (value = 1)
,            line 67 cols 49-49 is ',' 
1            line 67 cols 51-51 is T_IntConstant (value = 1)
)            line 67 cols 52-52 is ')' 
,            line 67 cols 53-53 is ',' 
stride       line 67 cols 55-60 is T_stride 
=            line 67 cols 61-61 is '=' 
(            line 67 cols 62-62 is '(' 
1            line 67 cols 63-63 is T_IntConstant (value = 1)
,            line 67 cols 64-64 is ',' 
1            line 67 cols 66-66 is T_IntConstant (value = 1)
)            line 67 cols 67-67 is ')' 
,            line 67 cols 68-68 is ',' 
bias         line 67 cols 70-73 is T_bias 
=            line 67 cols 74-74 is '=' 
False        line 67 cols 75-79 is T_BoolConstant (value = false)
)            line 67 cols 80-80 is ')' 
(            line 68 cols 9-9 is '(' 
norm2        line 68 cols 10-14 is T_Identifier 
)            line 68 cols 15-15 is ')' 
:            line 68 cols 16-16 is ':' 
BatchNorm2d  line 68 cols 18-28 is T_BatchNorm2d 
(            line 68 cols 29-29 is '(' 
128          line 68 cols 30-32 is T_IntConstant (value = 128)
,            line 68 cols 33-33 is ',' 
eps          line 68 cols 35-37 is T_eps 
=            line 68 cols 38-38 is '=' 
1e-05        line 68 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 68 cols 44-44 is ',' 
momentum     line 68 cols 46-53 is T_momentum 
=            line 68 cols 54-54 is '=' 
0.1          line 68 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 68 cols 58-58 is ',' 
affine       line 68 cols 60-65 is T_Identifier 
=            line 68 cols 66-66 is '=' 
True         line 68 cols 67-70 is T_BoolConstant (value = true)
,            line 68 cols 71-71 is ',' 
track_running_stats line 68 cols 73-91 is T_track_running_stats 
=            line 68 cols 92-92 is '=' 
True         line 68 cols 93-96 is T_BoolConstant (value = true)
)            line 68 cols 97-97 is ')' 
(            line 69 cols 9-9 is '(' 
relu2        line 69 cols 10-14 is T_Identifier 
)            line 69 cols 15-15 is ')' 
:            line 69 cols 16-16 is ':' 
ReLU         line 69 cols 18-21 is T_ReLU 
(            line 69 cols 22-22 is '(' 
inplace      line 69 cols 23-29 is T_inplace 
=            line 69 cols 30-30 is '=' 
True         line 69 cols 31-34 is T_BoolConstant (value = true)
)            line 69 cols 35-35 is ')' 
(            line 70 cols 9-9 is '(' 
conv2        line 70 cols 10-14 is T_Identifier 
)            line 70 cols 15-15 is ')' 
:            line 70 cols 16-16 is ':' 
Conv2d       line 70 cols 18-23 is T_Conv2d 
(            line 70 cols 24-24 is '(' 
128          line 70 cols 25-27 is T_IntConstant (value = 128)
,            line 70 cols 28-28 is ',' 
32           line 70 cols 30-31 is T_IntConstant (value = 32)
,            line 70 cols 32-32 is ',' 
kernel_size  line 70 cols 34-44 is T_kernel_size 
=            line 70 cols 45-45 is '=' 
(            line 70 cols 46-46 is '(' 
3            line 70 cols 47-47 is T_IntConstant (value = 3)
,            line 70 cols 48-48 is ',' 
3            line 70 cols 50-50 is T_IntConstant (value = 3)
)            line 70 cols 51-51 is ')' 
,            line 70 cols 52-52 is ',' 
stride       line 70 cols 54-59 is T_stride 
=            line 70 cols 60-60 is '=' 
(            line 70 cols 61-61 is '(' 
1            line 70 cols 62-62 is T_IntConstant (value = 1)
,            line 70 cols 63-63 is ',' 
1            line 70 cols 65-65 is T_IntConstant (value = 1)
)            line 70 cols 66-66 is ')' 
,            line 70 cols 67-67 is ',' 
padding      line 70 cols 69-75 is T_padding 
=            line 70 cols 76-76 is '=' 
(            line 70 cols 77-77 is '(' 
1            line 70 cols 78-78 is T_IntConstant (value = 1)
,            line 70 cols 79-79 is ',' 
1            line 70 cols 81-81 is T_IntConstant (value = 1)
)            line 70 cols 82-82 is ')' 
,            line 70 cols 83-83 is ',' 
bias         line 70 cols 85-88 is T_bias 
=            line 70 cols 89-89 is '=' 
False        line 70 cols 90-94 is T_BoolConstant (value = false)
)            line 70 cols 95-95 is ')' 
)            line 71 cols 7-7 is ')' 
(            line 72 cols 7-7 is '(' 
denselayer2  line 72 cols 8-18 is T_Identifier 
)            line 72 cols 19-19 is ')' 
:            line 72 cols 20-20 is ':' 
_DenseLayer  line 72 cols 22-32 is T_Identifier 
(            line 72 cols 33-33 is '(' 
(            line 73 cols 9-9 is '(' 
norm1        line 73 cols 10-14 is T_Identifier 
)            line 73 cols 15-15 is ')' 
:            line 73 cols 16-16 is ':' 
BatchNorm2d  line 73 cols 18-28 is T_BatchNorm2d 
(            line 73 cols 29-29 is '(' 
160          line 73 cols 30-32 is T_IntConstant (value = 160)
,            line 73 cols 33-33 is ',' 
eps          line 73 cols 35-37 is T_eps 
=            line 73 cols 38-38 is '=' 
1e-05        line 73 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 73 cols 44-44 is ',' 
momentum     line 73 cols 46-53 is T_momentum 
=            line 73 cols 54-54 is '=' 
0.1          line 73 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 73 cols 58-58 is ',' 
affine       line 73 cols 60-65 is T_Identifier 
=            line 73 cols 66-66 is '=' 
True         line 73 cols 67-70 is T_BoolConstant (value = true)
,            line 73 cols 71-71 is ',' 
track_running_stats line 73 cols 73-91 is T_track_running_stats 
=            line 73 cols 92-92 is '=' 
True         line 73 cols 93-96 is T_BoolConstant (value = true)
)            line 73 cols 97-97 is ')' 
(            line 74 cols 9-9 is '(' 
relu1        line 74 cols 10-14 is T_Identifier 
)            line 74 cols 15-15 is ')' 
:            line 74 cols 16-16 is ':' 
ReLU         line 74 cols 18-21 is T_ReLU 
(            line 74 cols 22-22 is '(' 
inplace      line 74 cols 23-29 is T_inplace 
=            line 74 cols 30-30 is '=' 
True         line 74 cols 31-34 is T_BoolConstant (value = true)
)            line 74 cols 35-35 is ')' 
(            line 75 cols 9-9 is '(' 
conv1        line 75 cols 10-14 is T_Identifier 
)            line 75 cols 15-15 is ')' 
:            line 75 cols 16-16 is ':' 
Conv2d       line 75 cols 18-23 is T_Conv2d 
(            line 75 cols 24-24 is '(' 
160          line 75 cols 25-27 is T_IntConstant (value = 160)
,            line 75 cols 28-28 is ',' 
128          line 75 cols 30-32 is T_IntConstant (value = 128)
,            line 75 cols 33-33 is ',' 
kernel_size  line 75 cols 35-45 is T_kernel_size 
=            line 75 cols 46-46 is '=' 
(            line 75 cols 47-47 is '(' 
1            line 75 cols 48-48 is T_IntConstant (value = 1)
,            line 75 cols 49-49 is ',' 
1            line 75 cols 51-51 is T_IntConstant (value = 1)
)            line 75 cols 52-52 is ')' 
,            line 75 cols 53-53 is ',' 
stride       line 75 cols 55-60 is T_stride 
=            line 75 cols 61-61 is '=' 
(            line 75 cols 62-62 is '(' 
1            line 75 cols 63-63 is T_IntConstant (value = 1)
,            line 75 cols 64-64 is ',' 
1            line 75 cols 66-66 is T_IntConstant (value = 1)
)            line 75 cols 67-67 is ')' 
,            line 75 cols 68-68 is ',' 
bias         line 75 cols 70-73 is T_bias 
=            line 75 cols 74-74 is '=' 
False        line 75 cols 75-79 is T_BoolConstant (value = false)
)            line 75 cols 80-80 is ')' 
(            line 76 cols 9-9 is '(' 
norm2        line 76 cols 10-14 is T_Identifier 
)            line 76 cols 15-15 is ')' 
:            line 76 cols 16-16 is ':' 
BatchNorm2d  line 76 cols 18-28 is T_BatchNorm2d 
(            line 76 cols 29-29 is '(' 
128          line 76 cols 30-32 is T_IntConstant (value = 128)
,            line 76 cols 33-33 is ',' 
eps          line 76 cols 35-37 is T_eps 
=            line 76 cols 38-38 is '=' 
1e-05        line 76 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 76 cols 44-44 is ',' 
momentum     line 76 cols 46-53 is T_momentum 
=            line 76 cols 54-54 is '=' 
0.1          line 76 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 76 cols 58-58 is ',' 
affine       line 76 cols 60-65 is T_Identifier 
=            line 76 cols 66-66 is '=' 
True         line 76 cols 67-70 is T_BoolConstant (value = true)
,            line 76 cols 71-71 is ',' 
track_running_stats line 76 cols 73-91 is T_track_running_stats 
=            line 76 cols 92-92 is '=' 
True         line 76 cols 93-96 is T_BoolConstant (value = true)
)            line 76 cols 97-97 is ')' 
(            line 77 cols 9-9 is '(' 
relu2        line 77 cols 10-14 is T_Identifier 
)            line 77 cols 15-15 is ')' 
:            line 77 cols 16-16 is ':' 
ReLU         line 77 cols 18-21 is T_ReLU 
(            line 77 cols 22-22 is '(' 
inplace      line 77 cols 23-29 is T_inplace 
=            line 77 cols 30-30 is '=' 
True         line 77 cols 31-34 is T_BoolConstant (value = true)
)            line 77 cols 35-35 is ')' 
(            line 78 cols 9-9 is '(' 
conv2        line 78 cols 10-14 is T_Identifier 
)            line 78 cols 15-15 is ')' 
:            line 78 cols 16-16 is ':' 
Conv2d       line 78 cols 18-23 is T_Conv2d 
(            line 78 cols 24-24 is '(' 
128          line 78 cols 25-27 is T_IntConstant (value = 128)
,            line 78 cols 28-28 is ',' 
32           line 78 cols 30-31 is T_IntConstant (value = 32)
,            line 78 cols 32-32 is ',' 
kernel_size  line 78 cols 34-44 is T_kernel_size 
=            line 78 cols 45-45 is '=' 
(            line 78 cols 46-46 is '(' 
3            line 78 cols 47-47 is T_IntConstant (value = 3)
,            line 78 cols 48-48 is ',' 
3            line 78 cols 50-50 is T_IntConstant (value = 3)
)            line 78 cols 51-51 is ')' 
,            line 78 cols 52-52 is ',' 
stride       line 78 cols 54-59 is T_stride 
=            line 78 cols 60-60 is '=' 
(            line 78 cols 61-61 is '(' 
1            line 78 cols 62-62 is T_IntConstant (value = 1)
,            line 78 cols 63-63 is ',' 
1            line 78 cols 65-65 is T_IntConstant (value = 1)
)            line 78 cols 66-66 is ')' 
,            line 78 cols 67-67 is ',' 
padding      line 78 cols 69-75 is T_padding 
=            line 78 cols 76-76 is '=' 
(            line 78 cols 77-77 is '(' 
1            line 78 cols 78-78 is T_IntConstant (value = 1)
,            line 78 cols 79-79 is ',' 
1            line 78 cols 81-81 is T_IntConstant (value = 1)
)            line 78 cols 82-82 is ')' 
,            line 78 cols 83-83 is ',' 
bias         line 78 cols 85-88 is T_bias 
=            line 78 cols 89-89 is '=' 
False        line 78 cols 90-94 is T_BoolConstant (value = false)
)            line 78 cols 95-95 is ')' 
)            line 79 cols 7-7 is ')' 
(            line 80 cols 7-7 is '(' 
denselayer3  line 80 cols 8-18 is T_Identifier 
)            line 80 cols 19-19 is ')' 
:            line 80 cols 20-20 is ':' 
_DenseLayer  line 80 cols 22-32 is T_Identifier 
(            line 80 cols 33-33 is '(' 
(            line 81 cols 9-9 is '(' 
norm1        line 81 cols 10-14 is T_Identifier 
)            line 81 cols 15-15 is ')' 
:            line 81 cols 16-16 is ':' 
BatchNorm2d  line 81 cols 18-28 is T_BatchNorm2d 
(            line 81 cols 29-29 is '(' 
192          line 81 cols 30-32 is T_IntConstant (value = 192)
,            line 81 cols 33-33 is ',' 
eps          line 81 cols 35-37 is T_eps 
=            line 81 cols 38-38 is '=' 
1e-05        line 81 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 81 cols 44-44 is ',' 
momentum     line 81 cols 46-53 is T_momentum 
=            line 81 cols 54-54 is '=' 
0.1          line 81 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 81 cols 58-58 is ',' 
affine       line 81 cols 60-65 is T_Identifier 
=            line 81 cols 66-66 is '=' 
True         line 81 cols 67-70 is T_BoolConstant (value = true)
,            line 81 cols 71-71 is ',' 
track_running_stats line 81 cols 73-91 is T_track_running_stats 
=            line 81 cols 92-92 is '=' 
True         line 81 cols 93-96 is T_BoolConstant (value = true)
)            line 81 cols 97-97 is ')' 
(            line 82 cols 9-9 is '(' 
relu1        line 82 cols 10-14 is T_Identifier 
)            line 82 cols 15-15 is ')' 
:            line 82 cols 16-16 is ':' 
ReLU         line 82 cols 18-21 is T_ReLU 
(            line 82 cols 22-22 is '(' 
inplace      line 82 cols 23-29 is T_inplace 
=            line 82 cols 30-30 is '=' 
True         line 82 cols 31-34 is T_BoolConstant (value = true)
)            line 82 cols 35-35 is ')' 
(            line 83 cols 9-9 is '(' 
conv1        line 83 cols 10-14 is T_Identifier 
)            line 83 cols 15-15 is ')' 
:            line 83 cols 16-16 is ':' 
Conv2d       line 83 cols 18-23 is T_Conv2d 
(            line 83 cols 24-24 is '(' 
192          line 83 cols 25-27 is T_IntConstant (value = 192)
,            line 83 cols 28-28 is ',' 
128          line 83 cols 30-32 is T_IntConstant (value = 128)
,            line 83 cols 33-33 is ',' 
kernel_size  line 83 cols 35-45 is T_kernel_size 
=            line 83 cols 46-46 is '=' 
(            line 83 cols 47-47 is '(' 
1            line 83 cols 48-48 is T_IntConstant (value = 1)
,            line 83 cols 49-49 is ',' 
1            line 83 cols 51-51 is T_IntConstant (value = 1)
)            line 83 cols 52-52 is ')' 
,            line 83 cols 53-53 is ',' 
stride       line 83 cols 55-60 is T_stride 
=            line 83 cols 61-61 is '=' 
(            line 83 cols 62-62 is '(' 
1            line 83 cols 63-63 is T_IntConstant (value = 1)
,            line 83 cols 64-64 is ',' 
1            line 83 cols 66-66 is T_IntConstant (value = 1)
)            line 83 cols 67-67 is ')' 
,            line 83 cols 68-68 is ',' 
bias         line 83 cols 70-73 is T_bias 
=            line 83 cols 74-74 is '=' 
False        line 83 cols 75-79 is T_BoolConstant (value = false)
)            line 83 cols 80-80 is ')' 
(            line 84 cols 9-9 is '(' 
norm2        line 84 cols 10-14 is T_Identifier 
)            line 84 cols 15-15 is ')' 
:            line 84 cols 16-16 is ':' 
BatchNorm2d  line 84 cols 18-28 is T_BatchNorm2d 
(            line 84 cols 29-29 is '(' 
128          line 84 cols 30-32 is T_IntConstant (value = 128)
,            line 84 cols 33-33 is ',' 
eps          line 84 cols 35-37 is T_eps 
=            line 84 cols 38-38 is '=' 
1e-05        line 84 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 84 cols 44-44 is ',' 
momentum     line 84 cols 46-53 is T_momentum 
=            line 84 cols 54-54 is '=' 
0.1          line 84 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 84 cols 58-58 is ',' 
affine       line 84 cols 60-65 is T_Identifier 
=            line 84 cols 66-66 is '=' 
True         line 84 cols 67-70 is T_BoolConstant (value = true)
,            line 84 cols 71-71 is ',' 
track_running_stats line 84 cols 73-91 is T_track_running_stats 
=            line 84 cols 92-92 is '=' 
True         line 84 cols 93-96 is T_BoolConstant (value = true)
)            line 84 cols 97-97 is ')' 
(            line 85 cols 9-9 is '(' 
relu2        line 85 cols 10-14 is T_Identifier 
)            line 85 cols 15-15 is ')' 
:            line 85 cols 16-16 is ':' 
ReLU         line 85 cols 18-21 is T_ReLU 
(            line 85 cols 22-22 is '(' 
inplace      line 85 cols 23-29 is T_inplace 
=            line 85 cols 30-30 is '=' 
True         line 85 cols 31-34 is T_BoolConstant (value = true)
)            line 85 cols 35-35 is ')' 
(            line 86 cols 9-9 is '(' 
conv2        line 86 cols 10-14 is T_Identifier 
)            line 86 cols 15-15 is ')' 
:            line 86 cols 16-16 is ':' 
Conv2d       line 86 cols 18-23 is T_Conv2d 
(            line 86 cols 24-24 is '(' 
128          line 86 cols 25-27 is T_IntConstant (value = 128)
,            line 86 cols 28-28 is ',' 
32           line 86 cols 30-31 is T_IntConstant (value = 32)
,            line 86 cols 32-32 is ',' 
kernel_size  line 86 cols 34-44 is T_kernel_size 
=            line 86 cols 45-45 is '=' 
(            line 86 cols 46-46 is '(' 
3            line 86 cols 47-47 is T_IntConstant (value = 3)
,            line 86 cols 48-48 is ',' 
3            line 86 cols 50-50 is T_IntConstant (value = 3)
)            line 86 cols 51-51 is ')' 
,            line 86 cols 52-52 is ',' 
stride       line 86 cols 54-59 is T_stride 
=            line 86 cols 60-60 is '=' 
(            line 86 cols 61-61 is '(' 
1            line 86 cols 62-62 is T_IntConstant (value = 1)
,            line 86 cols 63-63 is ',' 
1            line 86 cols 65-65 is T_IntConstant (value = 1)
)            line 86 cols 66-66 is ')' 
,            line 86 cols 67-67 is ',' 
padding      line 86 cols 69-75 is T_padding 
=            line 86 cols 76-76 is '=' 
(            line 86 cols 77-77 is '(' 
1            line 86 cols 78-78 is T_IntConstant (value = 1)
,            line 86 cols 79-79 is ',' 
1            line 86 cols 81-81 is T_IntConstant (value = 1)
)            line 86 cols 82-82 is ')' 
,            line 86 cols 83-83 is ',' 
bias         line 86 cols 85-88 is T_bias 
=            line 86 cols 89-89 is '=' 
False        line 86 cols 90-94 is T_BoolConstant (value = false)
)            line 86 cols 95-95 is ')' 
)            line 87 cols 7-7 is ')' 
(            line 88 cols 7-7 is '(' 
denselayer4  line 88 cols 8-18 is T_Identifier 
)            line 88 cols 19-19 is ')' 
:            line 88 cols 20-20 is ':' 
_DenseLayer  line 88 cols 22-32 is T_Identifier 
(            line 88 cols 33-33 is '(' 
(            line 89 cols 9-9 is '(' 
norm1        line 89 cols 10-14 is T_Identifier 
)            line 89 cols 15-15 is ')' 
:            line 89 cols 16-16 is ':' 
BatchNorm2d  line 89 cols 18-28 is T_BatchNorm2d 
(            line 89 cols 29-29 is '(' 
224          line 89 cols 30-32 is T_IntConstant (value = 224)
,            line 89 cols 33-33 is ',' 
eps          line 89 cols 35-37 is T_eps 
=            line 89 cols 38-38 is '=' 
1e-05        line 89 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 89 cols 44-44 is ',' 
momentum     line 89 cols 46-53 is T_momentum 
=            line 89 cols 54-54 is '=' 
0.1          line 89 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 89 cols 58-58 is ',' 
affine       line 89 cols 60-65 is T_Identifier 
=            line 89 cols 66-66 is '=' 
True         line 89 cols 67-70 is T_BoolConstant (value = true)
,            line 89 cols 71-71 is ',' 
track_running_stats line 89 cols 73-91 is T_track_running_stats 
=            line 89 cols 92-92 is '=' 
True         line 89 cols 93-96 is T_BoolConstant (value = true)
)            line 89 cols 97-97 is ')' 
(            line 90 cols 9-9 is '(' 
relu1        line 90 cols 10-14 is T_Identifier 
)            line 90 cols 15-15 is ')' 
:            line 90 cols 16-16 is ':' 
ReLU         line 90 cols 18-21 is T_ReLU 
(            line 90 cols 22-22 is '(' 
inplace      line 90 cols 23-29 is T_inplace 
=            line 90 cols 30-30 is '=' 
True         line 90 cols 31-34 is T_BoolConstant (value = true)
)            line 90 cols 35-35 is ')' 
(            line 91 cols 9-9 is '(' 
conv1        line 91 cols 10-14 is T_Identifier 
)            line 91 cols 15-15 is ')' 
:            line 91 cols 16-16 is ':' 
Conv2d       line 91 cols 18-23 is T_Conv2d 
(            line 91 cols 24-24 is '(' 
224          line 91 cols 25-27 is T_IntConstant (value = 224)
,            line 91 cols 28-28 is ',' 
128          line 91 cols 30-32 is T_IntConstant (value = 128)
,            line 91 cols 33-33 is ',' 
kernel_size  line 91 cols 35-45 is T_kernel_size 
=            line 91 cols 46-46 is '=' 
(            line 91 cols 47-47 is '(' 
1            line 91 cols 48-48 is T_IntConstant (value = 1)
,            line 91 cols 49-49 is ',' 
1            line 91 cols 51-51 is T_IntConstant (value = 1)
)            line 91 cols 52-52 is ')' 
,            line 91 cols 53-53 is ',' 
stride       line 91 cols 55-60 is T_stride 
=            line 91 cols 61-61 is '=' 
(            line 91 cols 62-62 is '(' 
1            line 91 cols 63-63 is T_IntConstant (value = 1)
,            line 91 cols 64-64 is ',' 
1            line 91 cols 66-66 is T_IntConstant (value = 1)
)            line 91 cols 67-67 is ')' 
,            line 91 cols 68-68 is ',' 
bias         line 91 cols 70-73 is T_bias 
=            line 91 cols 74-74 is '=' 
False        line 91 cols 75-79 is T_BoolConstant (value = false)
)            line 91 cols 80-80 is ')' 
(            line 92 cols 9-9 is '(' 
norm2        line 92 cols 10-14 is T_Identifier 
)            line 92 cols 15-15 is ')' 
:            line 92 cols 16-16 is ':' 
BatchNorm2d  line 92 cols 18-28 is T_BatchNorm2d 
(            line 92 cols 29-29 is '(' 
128          line 92 cols 30-32 is T_IntConstant (value = 128)
,            line 92 cols 33-33 is ',' 
eps          line 92 cols 35-37 is T_eps 
=            line 92 cols 38-38 is '=' 
1e-05        line 92 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 92 cols 44-44 is ',' 
momentum     line 92 cols 46-53 is T_momentum 
=            line 92 cols 54-54 is '=' 
0.1          line 92 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 92 cols 58-58 is ',' 
affine       line 92 cols 60-65 is T_Identifier 
=            line 92 cols 66-66 is '=' 
True         line 92 cols 67-70 is T_BoolConstant (value = true)
,            line 92 cols 71-71 is ',' 
track_running_stats line 92 cols 73-91 is T_track_running_stats 
=            line 92 cols 92-92 is '=' 
True         line 92 cols 93-96 is T_BoolConstant (value = true)
)            line 92 cols 97-97 is ')' 
(            line 93 cols 9-9 is '(' 
relu2        line 93 cols 10-14 is T_Identifier 
)            line 93 cols 15-15 is ')' 
:            line 93 cols 16-16 is ':' 
ReLU         line 93 cols 18-21 is T_ReLU 
(            line 93 cols 22-22 is '(' 
inplace      line 93 cols 23-29 is T_inplace 
=            line 93 cols 30-30 is '=' 
True         line 93 cols 31-34 is T_BoolConstant (value = true)
)            line 93 cols 35-35 is ')' 
(            line 94 cols 9-9 is '(' 
conv2        line 94 cols 10-14 is T_Identifier 
)            line 94 cols 15-15 is ')' 
:            line 94 cols 16-16 is ':' 
Conv2d       line 94 cols 18-23 is T_Conv2d 
(            line 94 cols 24-24 is '(' 
128          line 94 cols 25-27 is T_IntConstant (value = 128)
,            line 94 cols 28-28 is ',' 
32           line 94 cols 30-31 is T_IntConstant (value = 32)
,            line 94 cols 32-32 is ',' 
kernel_size  line 94 cols 34-44 is T_kernel_size 
=            line 94 cols 45-45 is '=' 
(            line 94 cols 46-46 is '(' 
3            line 94 cols 47-47 is T_IntConstant (value = 3)
,            line 94 cols 48-48 is ',' 
3            line 94 cols 50-50 is T_IntConstant (value = 3)
)            line 94 cols 51-51 is ')' 
,            line 94 cols 52-52 is ',' 
stride       line 94 cols 54-59 is T_stride 
=            line 94 cols 60-60 is '=' 
(            line 94 cols 61-61 is '(' 
1            line 94 cols 62-62 is T_IntConstant (value = 1)
,            line 94 cols 63-63 is ',' 
1            line 94 cols 65-65 is T_IntConstant (value = 1)
)            line 94 cols 66-66 is ')' 
,            line 94 cols 67-67 is ',' 
padding      line 94 cols 69-75 is T_padding 
=            line 94 cols 76-76 is '=' 
(            line 94 cols 77-77 is '(' 
1            line 94 cols 78-78 is T_IntConstant (value = 1)
,            line 94 cols 79-79 is ',' 
1            line 94 cols 81-81 is T_IntConstant (value = 1)
)            line 94 cols 82-82 is ')' 
,            line 94 cols 83-83 is ',' 
bias         line 94 cols 85-88 is T_bias 
=            line 94 cols 89-89 is '=' 
False        line 94 cols 90-94 is T_BoolConstant (value = false)
)            line 94 cols 95-95 is ')' 
)            line 95 cols 7-7 is ')' 
(            line 96 cols 7-7 is '(' 
denselayer5  line 96 cols 8-18 is T_Identifier 
)            line 96 cols 19-19 is ')' 
:            line 96 cols 20-20 is ':' 
_DenseLayer  line 96 cols 22-32 is T_Identifier 
(            line 96 cols 33-33 is '(' 
(            line 97 cols 9-9 is '(' 
norm1        line 97 cols 10-14 is T_Identifier 
)            line 97 cols 15-15 is ')' 
:            line 97 cols 16-16 is ':' 
BatchNorm2d  line 97 cols 18-28 is T_BatchNorm2d 
(            line 97 cols 29-29 is '(' 
256          line 97 cols 30-32 is T_IntConstant (value = 256)
,            line 97 cols 33-33 is ',' 
eps          line 97 cols 35-37 is T_eps 
=            line 97 cols 38-38 is '=' 
1e-05        line 97 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 97 cols 44-44 is ',' 
momentum     line 97 cols 46-53 is T_momentum 
=            line 97 cols 54-54 is '=' 
0.1          line 97 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 97 cols 58-58 is ',' 
affine       line 97 cols 60-65 is T_Identifier 
=            line 97 cols 66-66 is '=' 
True         line 97 cols 67-70 is T_BoolConstant (value = true)
,            line 97 cols 71-71 is ',' 
track_running_stats line 97 cols 73-91 is T_track_running_stats 
=            line 97 cols 92-92 is '=' 
True         line 97 cols 93-96 is T_BoolConstant (value = true)
)            line 97 cols 97-97 is ')' 
(            line 98 cols 9-9 is '(' 
relu1        line 98 cols 10-14 is T_Identifier 
)            line 98 cols 15-15 is ')' 
:            line 98 cols 16-16 is ':' 
ReLU         line 98 cols 18-21 is T_ReLU 
(            line 98 cols 22-22 is '(' 
inplace      line 98 cols 23-29 is T_inplace 
=            line 98 cols 30-30 is '=' 
True         line 98 cols 31-34 is T_BoolConstant (value = true)
)            line 98 cols 35-35 is ')' 
(            line 99 cols 9-9 is '(' 
conv1        line 99 cols 10-14 is T_Identifier 
)            line 99 cols 15-15 is ')' 
:            line 99 cols 16-16 is ':' 
Conv2d       line 99 cols 18-23 is T_Conv2d 
(            line 99 cols 24-24 is '(' 
256          line 99 cols 25-27 is T_IntConstant (value = 256)
,            line 99 cols 28-28 is ',' 
128          line 99 cols 30-32 is T_IntConstant (value = 128)
,            line 99 cols 33-33 is ',' 
kernel_size  line 99 cols 35-45 is T_kernel_size 
=            line 99 cols 46-46 is '=' 
(            line 99 cols 47-47 is '(' 
1            line 99 cols 48-48 is T_IntConstant (value = 1)
,            line 99 cols 49-49 is ',' 
1            line 99 cols 51-51 is T_IntConstant (value = 1)
)            line 99 cols 52-52 is ')' 
,            line 99 cols 53-53 is ',' 
stride       line 99 cols 55-60 is T_stride 
=            line 99 cols 61-61 is '=' 
(            line 99 cols 62-62 is '(' 
1            line 99 cols 63-63 is T_IntConstant (value = 1)
,            line 99 cols 64-64 is ',' 
1            line 99 cols 66-66 is T_IntConstant (value = 1)
)            line 99 cols 67-67 is ')' 
