DenseNet     line 1 cols 1-8 is T_Identifier 
relu1        line 10 cols 10-14 is T_Identifier 
)            line 10 cols 15-15 is ')' 
:            line 10 cols 16-16 is ':' 
ReLU         line 10 cols 18-21 is T_ReLU 
(            line 10 cols 22-22 is '(' 
inplace      line 10 cols 23-29 is T_inplace 
=            line 10 cols 30-30 is '=' 
True         line 10 cols 31-34 is T_BoolConstant (value = true)
)            line 10 cols 35-35 is ')' 
(            line 11 cols 9-9 is '(' 
conv1        line 11 cols 10-14 is T_Identifier 
)            line 11 cols 15-15 is ')' 
:            line 11 cols 16-16 is ':' 
Conv2d       line 11 cols 18-23 is T_Conv2d 
(            line 11 cols 24-24 is '(' 
64           line 11 cols 25-26 is T_IntConstant (value = 64)
,            line 11 cols 27-27 is ',' 
128          line 11 cols 29-31 is T_IntConstant (value = 128)
,            line 11 cols 32-32 is ',' 
kernel_size  line 11 cols 34-44 is T_kernel_size 
=            line 11 cols 45-45 is '=' 
(            line 11 cols 46-46 is '(' 
1            line 11 cols 47-47 is T_IntConstant (value = 1)
,            line 11 cols 48-48 is ',' 
1            line 11 cols 50-50 is T_IntConstant (value = 1)
)            line 11 cols 51-51 is ')' 
,            line 11 cols 52-52 is ',' 
stride       line 11 cols 54-59 is T_stride 
=            line 11 cols 60-60 is '=' 
(            line 11 cols 61-61 is '(' 
1            line 11 cols 62-62 is T_IntConstant (value = 1)
,            line 11 cols 63-63 is ',' 
1            line 11 cols 65-65 is T_IntConstant (value = 1)
)            line 11 cols 66-66 is ')' 
,            line 11 cols 67-67 is ',' 
bias         line 11 cols 69-72 is T_bias 
=            line 11 cols 73-73 is '=' 
False        line 11 cols 74-78 is T_BoolConstant (value = false)
)            line 11 cols 79-79 is ')' 
(            line 12 cols 9-9 is '(' 
norm2        line 12 cols 10-14 is T_Identifier 
)            line 12 cols 15-15 is ')' 
:            line 12 cols 16-16 is ':' 
BatchNorm2d  line 12 cols 18-28 is T_BatchNorm2d 
(            line 12 cols 29-29 is '(' 
128          line 12 cols 30-32 is T_IntConstant (value = 128)
,            line 12 cols 33-33 is ',' 
eps          line 12 cols 35-37 is T_eps 
=            line 12 cols 38-38 is '=' 
1e-05        line 12 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 12 cols 44-44 is ',' 
momentum     line 12 cols 46-53 is T_momentum 
=            line 12 cols 54-54 is '=' 
0.1          line 12 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 12 cols 58-58 is ',' 
affine       line 12 cols 60-65 is T_Identifier 
=            line 12 cols 66-66 is '=' 
True         line 12 cols 67-70 is T_BoolConstant (value = true)
,            line 12 cols 71-71 is ',' 
track_running_stats line 12 cols 73-91 is T_track_running_stats 
=            line 12 cols 92-92 is '=' 
True         line 12 cols 93-96 is T_BoolConstant (value = true)
)            line 12 cols 97-97 is ')' 
(            line 13 cols 9-9 is '(' 
relu2        line 13 cols 10-14 is T_Identifier 
)            line 13 cols 15-15 is ')' 
:            line 13 cols 16-16 is ':' 
ReLU         line 13 cols 18-21 is T_ReLU 
(            line 13 cols 22-22 is '(' 
inplace      line 13 cols 23-29 is T_inplace 
=            line 13 cols 30-30 is '=' 
True         line 13 cols 31-34 is T_BoolConstant (value = true)
)            line 13 cols 35-35 is ')' 
(            line 14 cols 9-9 is '(' 
conv2        line 14 cols 10-14 is T_Identifier 
)            line 14 cols 15-15 is ')' 
:            line 14 cols 16-16 is ':' 
Conv2d       line 14 cols 18-23 is T_Conv2d 
(            line 14 cols 24-24 is '(' 
128          line 14 cols 25-27 is T_IntConstant (value = 128)
,            line 14 cols 28-28 is ',' 
32           line 14 cols 30-31 is T_IntConstant (value = 32)
,            line 14 cols 32-32 is ',' 
kernel_size  line 14 cols 34-44 is T_kernel_size 
=            line 14 cols 45-45 is '=' 
(            line 14 cols 46-46 is '(' 
3            line 14 cols 47-47 is T_IntConstant (value = 3)
,            line 14 cols 48-48 is ',' 
3            line 14 cols 50-50 is T_IntConstant (value = 3)
)            line 14 cols 51-51 is ')' 
,            line 14 cols 52-52 is ',' 
stride       line 14 cols 54-59 is T_stride 
=            line 14 cols 60-60 is '=' 
(            line 14 cols 61-61 is '(' 
1            line 14 cols 62-62 is T_IntConstant (value = 1)
,            line 14 cols 63-63 is ',' 
1            line 14 cols 65-65 is T_IntConstant (value = 1)
)            line 14 cols 66-66 is ')' 
,            line 14 cols 67-67 is ',' 
padding      line 14 cols 69-75 is T_padding 
=            line 14 cols 76-76 is '=' 
(            line 14 cols 77-77 is '(' 
1            line 14 cols 78-78 is T_IntConstant (value = 1)
,            line 14 cols 79-79 is ',' 
1            line 14 cols 81-81 is T_IntConstant (value = 1)
)            line 14 cols 82-82 is ')' 
,            line 14 cols 83-83 is ',' 
bias         line 14 cols 85-88 is T_bias 
=            line 14 cols 89-89 is '=' 
False        line 14 cols 90-94 is T_BoolConstant (value = false)
)            line 14 cols 95-95 is ')' 
)            line 15 cols 7-7 is ')' 
(            line 16 cols 7-7 is '(' 
denselayer2  line 16 cols 8-18 is T_Identifier 
)            line 16 cols 19-19 is ')' 
:            line 16 cols 20-20 is ':' 
_DenseLayer  line 16 cols 22-32 is T_Identifier 
(            line 16 cols 33-33 is '(' 
